,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.018341931980103254,90.0,250,0.05,476
1,1,0.048426941997604445,91.0,250,0.05,476
2,2,0.0819537180068437,94.0,250,0.05,476
3,3,0.11152974600554444,94.0,250,0.05,476
4,4,0.14100141800008714,94.0,250,0.05,476
5,5,0.17052767498535104,95.0,250,0.05,476
6,6,0.20001701300498098,95.0,250,0.05,476
7,7,0.22934797999914736,102.0,250,0.05,476
8,8,0.2591606159985531,102.0,250,0.05,476
9,9,0.28850706000230275,105.0,250,0.05,476
10,10,0.3180549370008521,105.0,250,0.05,476
11,11,0.3476914649945684,105.0,250,0.05,476
12,12,0.3772196669888217,107.0,250,0.05,476
13,13,0.4066779599816073,112.0,250,0.05,476
14,14,0.43627141398610547,112.0,250,0.05,476
15,15,0.46591304798494093,112.0,250,0.05,476
16,16,0.4955803240009118,113.0,250,0.05,476
17,17,0.5251804629806429,113.0,250,0.05,476
18,18,0.554652967985021,117.0,250,0.05,476
19,19,0.584254151006462,117.0,250,0.05,476
20,20,0.6137884829950053,117.0,250,0.05,476
21,21,0.6435517059871927,118.0,250,0.05,476
22,22,0.6730626930075232,118.0,250,0.05,476
23,23,0.7024291809939314,118.0,250,0.05,476
24,24,0.7320315100078005,118.0,250,0.05,476
25,25,0.7614946749818046,118.0,250,0.05,476
26,26,0.7921075100020971,118.0,250,0.05,476
27,27,0.8260040289897006,118.0,250,0.05,476
28,28,0.855565898003988,118.0,250,0.05,476
29,29,0.8853160529979505,118.0,250,0.05,476
30,30,0.9147247599903494,118.0,250,0.05,476
31,31,0.9446121589862742,118.0,250,0.05,476
32,32,0.9743758660042658,118.0,250,0.05,476
33,33,1.004136453004321,119.0,250,0.05,476
34,34,1.033661047986243,119.0,250,0.05,476
35,35,1.0630898939853068,119.0,250,0.05,476
36,36,1.0923632729973178,119.0,250,0.05,476
37,37,1.1217685540032107,119.0,250,0.05,476
38,38,1.1514194899937138,119.0,250,0.05,476
39,39,1.1809898689971305,119.0,250,0.05,476
40,40,1.2105232650064863,119.0,250,0.05,476
41,41,1.2400865149975289,119.0,250,0.05,476
42,42,1.2694708689814433,119.0,250,0.05,476
43,43,1.2990443889866583,119.0,250,0.05,476
44,44,1.3286150689818896,119.0,250,0.05,476
45,45,1.3585107100079767,119.0,250,0.05,476
46,46,1.3880299129814375,119.0,250,0.05,476
47,47,1.4176469389931299,119.0,250,0.05,476
48,48,1.4470969609974418,119.0,250,0.05,476
49,49,1.4764647929987404,119.0,250,0.05,476
50,50,1.5064044189930428,119.0,250,0.05,476
51,51,1.5361121559981257,119.0,250,0.05,476
52,52,1.5698843539867084,119.0,250,0.05,476
53,53,1.5993307830067351,119.0,250,0.05,476
54,54,1.6285745179920923,119.0,250,0.05,476
55,55,1.6579979310045019,119.0,250,0.05,476
56,56,1.6877340729988646,119.0,250,0.05,476
57,57,1.7173041439964436,119.0,250,0.05,476
58,58,1.7475901180005167,119.0,250,0.05,476
59,59,1.7786263629968744,119.0,250,0.05,476
60,60,1.808227650995832,120.0,250,0.05,476
61,61,1.8381437769858167,120.0,250,0.05,476
62,62,1.867442590999417,120.0,250,0.05,476
63,63,1.896793449006509,120.0,250,0.05,476
64,64,1.9262507089879364,120.0,250,0.05,476
65,65,1.9554955720086582,120.0,250,0.05,476
66,66,1.9850554970034864,120.0,250,0.05,476
67,67,2.014453694981057,120.0,250,0.05,476
68,68,2.0439058209885843,120.0,250,0.05,476
69,69,2.0736961149959825,120.0,250,0.05,476
70,70,2.1029261509829666,120.0,250,0.05,476
71,71,2.1327393160026986,120.0,250,0.05,476
72,72,2.162306723999791,120.0,250,0.05,476
