,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.018553634989075363,13.0,150,0.3,476
1,1,0.04580467499908991,13.0,150,0.3,476
2,2,0.07644454800174572,16.0,150,0.3,476
3,3,0.10345255600987002,16.0,150,0.3,476
4,4,0.12970840200432576,16.0,150,0.3,476
5,5,0.15612258701003157,16.0,150,0.3,476
6,6,0.18218053199234419,18.0,150,0.3,476
7,7,0.20816159099922515,18.0,150,0.3,476
8,8,0.23437111999373883,168.0,150,0.3,476
9,9,0.26076035300502554,168.0,150,0.3,476
10,10,0.2872228019987233,171.0,150,0.3,476
11,11,0.313250623003114,171.0,150,0.3,476
12,12,0.3401054299902171,171.0,150,0.3,476
13,13,0.3664589469844941,171.0,150,0.3,476
14,14,0.39301928199711256,171.0,150,0.3,476
15,15,0.41916547098662704,174.0,150,0.3,476
16,16,0.4451467870094348,174.0,150,0.3,476
17,17,0.4720075239893049,174.0,150,0.3,476
18,18,0.49811990300077014,174.0,150,0.3,476
19,19,0.5243681859865319,174.0,150,0.3,476
20,20,0.5502765089913737,174.0,150,0.3,476
21,21,0.5765852239856031,174.0,150,0.3,476
22,22,0.6029506030026823,174.0,150,0.3,476
23,23,0.629874584992649,174.0,150,0.3,476
24,24,0.6564579390105791,174.0,150,0.3,476
25,25,0.6831251069961581,175.0,150,0.3,476
26,26,0.709860564005794,175.0,150,0.3,476
27,27,0.7408175710006617,175.0,150,0.3,476
28,28,0.7671556269924622,175.0,150,0.3,476
29,29,0.7932673949981108,175.0,150,0.3,476
30,30,0.8199746409954969,175.0,150,0.3,476
31,31,0.846650243998738,178.0,150,0.3,476
32,32,0.8729796999832615,178.0,150,0.3,476
33,33,0.8989842940063681,178.0,150,0.3,476
34,34,0.9253096680040471,180.0,150,0.3,476
35,35,0.9517495649924967,180.0,150,0.3,476
36,36,0.978404433990363,180.0,150,0.3,476
37,37,1.0049211400037166,180.0,150,0.3,476
38,38,1.0314064449921716,180.0,150,0.3,476
39,39,1.057905252004275,180.0,150,0.3,476
40,40,1.0846528469992336,180.0,150,0.3,476
41,41,1.111686260002898,180.0,150,0.3,476
42,42,1.1388852169911843,180.0,150,0.3,476
43,43,1.165516609995393,180.0,150,0.3,476
44,44,1.1921787780011073,184.0,150,0.3,476
45,45,1.2183536170050502,184.0,150,0.3,476
46,46,1.2447002789995167,184.0,150,0.3,476
47,47,1.2708718900103122,184.0,150,0.3,476
48,48,1.2973949610022828,184.0,150,0.3,476
49,49,1.3236011599947233,184.0,150,0.3,476
50,50,1.3502027789945714,184.0,150,0.3,476
51,51,1.376273633009987,184.0,150,0.3,476
52,52,1.4069564499950502,184.0,150,0.3,476
53,53,1.4336112159944605,184.0,150,0.3,476
54,54,1.4597414569871034,184.0,150,0.3,476
55,55,1.4861453860066831,184.0,150,0.3,476
56,56,1.5122393890051171,184.0,150,0.3,476
57,57,1.5380019120057113,184.0,150,0.3,476
58,58,1.5708220849919599,184.0,150,0.3,476
59,59,1.5988240989972837,184.0,150,0.3,476
60,60,1.625503324001329,184.0,150,0.3,476
61,61,1.651539443002548,184.0,150,0.3,476
62,62,1.6776714919833466,184.0,150,0.3,476
63,63,1.7039024900004733,184.0,150,0.3,476
64,64,1.7299139690003358,184.0,150,0.3,476
65,65,1.7560785289970227,184.0,150,0.3,476
66,66,1.7822582219960168,184.0,150,0.3,476
67,67,1.8084158030105755,186.0,150,0.3,476
68,68,1.8348818040103652,186.0,150,0.3,476
69,69,1.8610627590096556,186.0,150,0.3,476
70,70,1.8872378350060899,186.0,150,0.3,476
71,71,1.9133239740040153,188.0,150,0.3,476
72,72,1.9396600809996016,188.0,150,0.3,476
73,73,1.9657391409855336,188.0,150,0.3,476
74,74,1.9921120299841277,188.0,150,0.3,476
75,75,2.0176854300079867,188.0,150,0.3,476
76,76,2.043611932982458,188.0,150,0.3,476
77,77,2.0747175659926143,188.0,150,0.3,476
78,78,2.101154873991618,188.0,150,0.3,476
79,79,2.128129135002382,188.0,150,0.3,476
80,80,2.154925965005532,188.0,150,0.3,476
81,81,2.1812672230007593,189.0,150,0.3,476
82,82,2.2076272339909337,190.0,150,0.3,476
83,83,2.233817422995344,190.0,150,0.3,476
84,84,2.2602479989873245,190.0,150,0.3,476
85,85,2.286615138000343,190.0,150,0.3,476
86,86,2.3128463129978627,190.0,150,0.3,476
87,87,2.339519000990549,190.0,150,0.3,476
88,88,2.365725518990075,191.0,150,0.3,476
89,89,2.3925477559969295,191.0,150,0.3,476
90,90,2.419289930985542,191.0,150,0.3,476
91,91,2.4455050010001287,191.0,150,0.3,476
92,92,2.4719387289951555,191.0,150,0.3,476
93,93,2.4981397980009206,191.0,150,0.3,476
94,94,2.5243396059959196,191.0,150,0.3,476
95,95,2.5504079060046934,191.0,150,0.3,476
96,96,2.5771187949867453,192.0,150,0.3,476
97,97,2.603864598990185,192.0,150,0.3,476
98,98,2.6303973699978087,192.0,150,0.3,476
99,99,2.656838825001614,192.0,150,0.3,476
100,100,2.683120865985984,192.0,150,0.3,476
101,101,2.7093002239998896,192.0,150,0.3,476
102,102,2.7406879979826044,192.0,150,0.3,476
103,103,2.767434429988498,192.0,150,0.3,476
104,104,2.7940154329990037,192.0,150,0.3,476
105,105,2.821041607996449,192.0,150,0.3,476
106,106,2.847946399007924,192.0,150,0.3,476
107,107,2.874672025995096,192.0,150,0.3,476
108,108,2.900863399001537,192.0,150,0.3,476
109,109,2.9273954019881785,192.0,150,0.3,476
110,110,2.95352974900743,192.0,150,0.3,476
111,111,2.9800689719850197,192.0,150,0.3,476
112,112,3.0064464730094187,192.0,150,0.3,476
113,113,3.0326868889969774,193.0,150,0.3,476
114,114,3.058794921991648,194.0,150,0.3,476
115,115,3.08526692900341,194.0,150,0.3,476
116,116,3.1115455719991587,194.0,150,0.3,476
117,117,3.1381287160038482,194.0,150,0.3,476
118,118,3.1644737939932384,194.0,150,0.3,476
119,119,3.1911080880090594,195.0,150,0.3,476
120,120,3.217875531001482,195.0,150,0.3,476
121,121,3.2440536599897314,195.0,150,0.3,476
122,122,3.2701319409825373,195.0,150,0.3,476
123,123,3.2964230490033515,195.0,150,0.3,476
124,124,3.3227800139866304,197.0,150,0.3,476
125,125,3.3491319220047444,197.0,150,0.3,476
126,126,3.3757421959890053,197.0,150,0.3,476
127,127,3.4070556219958235,197.0,150,0.3,476
128,128,3.4334503010031767,197.0,150,0.3,476
129,129,3.459564863005653,197.0,150,0.3,476
130,130,3.485933144984301,198.0,150,0.3,476
131,131,3.5130328290106263,199.0,150,0.3,476
132,132,3.539237591990968,199.0,150,0.3,476
133,133,3.5656121879874263,199.0,150,0.3,476
134,134,3.5917051099822856,202.0,150,0.3,476
135,135,3.6181510819878895,202.0,150,0.3,476
136,136,3.644589184987126,202.0,150,0.3,476
137,137,3.671145472006174,202.0,150,0.3,476
138,138,3.6976699639926665,202.0,150,0.3,476
139,139,3.7238695260020904,202.0,150,0.3,476
140,140,3.74991871099337,202.0,150,0.3,476
141,141,3.776357567985542,203.0,150,0.3,476
142,142,3.80251690899604,203.0,150,0.3,476
143,143,3.829276556003606,203.0,150,0.3,476
144,144,3.855901634990005,203.0,150,0.3,476
145,145,3.881922478991328,203.0,150,0.3,476
146,146,3.907962986995699,203.0,150,0.3,476
147,147,3.93446118501015,203.0,150,0.3,476
148,148,3.9606269949872512,203.0,150,0.3,476
149,149,3.987422514008358,203.0,150,0.3,476
150,150,4.014208490989404,203.0,150,0.3,476
151,151,4.041106832009973,204.0,150,0.3,476
152,152,4.0724489410058595,204.0,150,0.3,476
153,153,4.098857856995892,204.0,150,0.3,476
154,154,4.12534160798532,204.0,150,0.3,476
155,155,4.152169335982762,205.0,150,0.3,476
156,156,4.178596487996401,205.0,150,0.3,476
157,157,4.204938977985876,205.0,150,0.3,476
158,158,4.2312161790032405,205.0,150,0.3,476
159,159,4.257781338994391,205.0,150,0.3,476
160,160,4.283879864990013,205.0,150,0.3,476
161,161,4.310033249988919,205.0,150,0.3,476
162,162,4.3363078990078066,205.0,150,0.3,476
163,163,4.3624117669824045,205.0,150,0.3,476
164,164,4.388726554985624,205.0,150,0.3,476
165,165,4.414985440002056,205.0,150,0.3,476
166,166,4.441180630994495,205.0,150,0.3,476
167,167,4.467101791000459,205.0,150,0.3,476
168,168,4.493112206982914,207.0,150,0.3,476
169,169,4.519260951987235,207.0,150,0.3,476
170,170,4.54510794399539,207.0,150,0.3,476
171,171,4.571611446997849,207.0,150,0.3,476
172,172,4.597905917005846,207.0,150,0.3,476
173,173,4.624038126989035,207.0,150,0.3,476
174,174,4.650435515010031,207.0,150,0.3,476
175,175,4.676561376982136,207.0,150,0.3,476
176,176,4.702857517986558,209.0,150,0.3,476
177,177,4.734392540005501,209.0,150,0.3,476
178,178,4.760501657990972,209.0,150,0.3,476
179,179,4.786722655000631,209.0,150,0.3,476
180,180,4.812560995982494,209.0,150,0.3,476
181,181,4.83871251301025,209.0,150,0.3,476
182,182,4.864828291989397,209.0,150,0.3,476
183,183,4.890616446005879,209.0,150,0.3,476
184,184,4.916767416987568,210.0,150,0.3,476
