,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.018829242995707318,13.0,True,250,0.5,146
1,1,0.08970620998297818,89.0,True,250,0.5,146
2,2,0.15955098799895495,91.0,True,250,0.5,146
3,3,0.23263296898221597,92.0,True,250,0.5,146
4,4,0.30269784899428487,92.0,True,250,0.5,146
5,5,0.3633275079773739,92.0,True,250,0.5,146
6,6,0.42204887699335814,92.0,True,250,0.5,146
7,7,0.48871270997915417,92.0,True,250,0.5,146
8,8,0.5505490309733432,92.0,True,250,0.5,146
9,9,0.6119860019825865,94.0,True,250,0.5,146
10,10,0.67971401498653,94.0,True,250,0.5,146
11,11,0.7456287659879308,97.0,True,250,0.5,146
12,12,0.812913038971601,97.0,True,250,0.5,146
13,13,0.8724973799835425,98.0,True,250,0.5,146
14,14,0.9326636879995931,98.0,True,250,0.5,146
15,15,0.9920560129976366,100.0,True,250,0.5,146
16,16,1.052204133971827,100.0,True,250,0.5,146
17,17,1.11721598598524,102.0,True,250,0.5,146
18,18,1.1754904629779048,104.0,True,250,0.5,146
19,19,1.2324133649817668,104.0,True,250,0.5,146
20,20,1.289264616993023,104.0,True,250,0.5,146
21,21,1.3453671369934455,104.0,True,250,0.5,146
22,22,1.4067117889935616,104.0,True,250,0.5,146
23,23,1.4629892059892882,104.0,True,250,0.5,146
24,24,1.5207487839797977,105.0,True,250,0.5,146
25,25,1.5819616439985111,106.0,True,250,0.5,146
26,26,1.6425713200005703,106.0,True,250,0.5,146
27,27,1.71564814899466,106.0,True,250,0.5,146
28,28,1.7892774169740733,106.0,True,250,0.5,146
29,29,1.8572328529844526,106.0,True,250,0.5,146
30,30,1.9126040609844495,106.0,True,250,0.5,146
31,31,1.9729988389881328,106.0,True,250,0.5,146
32,32,2.038925823988393,106.0,True,250,0.5,146
33,33,2.1003269119828474,106.0,True,250,0.5,146
34,34,2.1749459669808857,106.0,True,250,0.5,146
35,35,2.2527879909903277,106.0,True,250,0.5,146
36,36,2.3244259459897876,106.0,True,250,0.5,146
37,37,2.4024559969839174,106.0,True,250,0.5,146
38,38,2.4796607850003056,106.0,True,250,0.5,146
39,39,2.5564449049998075,106.0,True,250,0.5,146
40,40,2.629530590987997,106.0,True,250,0.5,146
41,41,2.7074961759790312,106.0,True,250,0.5,146
42,42,2.7901154029823374,106.0,True,250,0.5,146
43,43,2.8621039089921396,106.0,True,250,0.5,146
44,44,2.9422662269789726,106.0,True,250,0.5,146
45,45,3.0206548729911447,106.0,True,250,0.5,146
46,46,3.0928093989787158,106.0,True,250,0.5,146
47,47,3.1784118019859307,106.0,True,250,0.5,146
48,48,3.255722905974835,106.0,True,250,0.5,146
49,49,3.327354374981951,106.0,True,250,0.5,146
50,50,3.404845884972019,106.0,True,250,0.5,146
51,51,3.4817283309821505,106.0,True,250,0.5,146
52,52,3.5581215040001553,106.0,True,250,0.5,146
53,53,3.6364500149793457,106.0,True,250,0.5,146
54,54,3.7279227979888674,106.0,True,250,0.5,146
55,55,3.8161354639742058,106.0,True,250,0.5,146
56,56,3.907615136995446,106.0,True,250,0.5,146
57,57,4.004389353998704,106.0,True,250,0.5,146
58,58,4.085490656987531,106.0,True,250,0.5,146
59,59,4.162465923000127,106.0,True,250,0.5,146
60,60,4.2387466589862015,106.0,True,250,0.5,146
61,61,4.309818165987963,106.0,True,250,0.5,146
62,62,4.391502014972502,106.0,True,250,0.5,146
63,63,4.467447719973279,106.0,True,250,0.5,146
64,64,4.538022014981834,106.0,True,250,0.5,146
65,65,4.615770184987923,106.0,True,250,0.5,146
66,66,4.692381824977929,106.0,True,250,0.5,146
67,67,4.769954387971666,106.0,True,250,0.5,146
68,68,4.84682882897323,106.0,True,250,0.5,146
69,69,4.923026966978796,106.0,True,250,0.5,146
70,70,4.99403940999764,106.0,True,250,0.5,146
71,71,5.070347180997487,106.0,True,250,0.5,146
72,72,5.151729761972092,106.0,True,250,0.5,146
73,73,5.225209329975769,106.0,True,250,0.5,146
74,74,5.301294239994604,106.0,True,250,0.5,146
75,75,5.377245529991342,106.0,True,250,0.5,146
