,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.01861475600162521,91.0,True,250,0.2,226
1,1,0.06749215198215097,91.0,True,250,0.2,226
2,2,0.12167176298680715,91.0,True,250,0.2,226
3,3,0.1683590019820258,92.0,True,250,0.2,226
4,4,0.21535490499809384,92.0,True,250,0.2,226
5,5,0.26528930498170666,94.0,True,250,0.2,226
6,6,0.31560938799520954,95.0,True,250,0.2,226
7,7,0.36182810697937384,105.0,True,250,0.2,226
8,8,0.4098469099844806,106.0,True,250,0.2,226
9,9,0.45602442100062035,109.0,True,250,0.2,226
10,10,0.5047360699973069,115.0,True,250,0.2,226
11,11,0.5518285789876245,116.0,True,250,0.2,226
12,12,0.5986139139859006,118.0,True,250,0.2,226
13,13,0.6530621839920059,122.0,True,250,0.2,226
14,14,0.6983637230005115,122.0,True,250,0.2,226
15,15,0.7464065380045213,122.0,True,250,0.2,226
16,16,0.7909506259893533,122.0,True,250,0.2,226
17,17,0.8359495189797599,122.0,True,250,0.2,226
18,18,0.9062980699818581,122.0,True,250,0.2,226
