,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00017376200412400067,6.0,1000,4901
1,1,0.0008428920118603855,6.0,1000,4901
2,2,0.0053736999980174005,6.0,1000,4901
3,3,0.005638450995320454,7.0,1000,4901
4,4,0.005878304014913738,7.0,1000,4901
5,5,0.006123672006651759,6.0,1000,4901
6,6,0.006370427989168093,6.0,1000,4901
7,7,0.006636545003857464,6.0,1000,4901
8,8,0.006883505993755534,6.0,1000,4901
9,9,0.007127994002075866,6.0,1000,4901
10,10,0.007371762010734528,6.0,1000,4901
11,11,0.007614781003212556,6.0,1000,4901
12,12,0.007878828997490928,6.0,1000,4901
13,13,0.008123223000438884,7.0,1000,4901
14,14,0.008362152002518997,7.0,1000,4901
15,15,0.008605045004514977,7.0,1000,4901
16,16,0.008848811005009338,7.0,1000,4901
17,17,0.009092479012906551,7.0,1000,4901
18,18,0.009335554001154378,7.0,1000,4901
19,19,0.009603701997548342,7.0,1000,4901
20,20,0.009844901011092588,7.0,1000,4901
21,21,0.01009244698798284,7.0,1000,4901
22,22,0.010330054006772116,7.0,1000,4901
23,23,0.010574681014986709,7.0,1000,4901
24,24,0.010820880997925997,7.0,1000,4901
25,25,0.011066982988268137,7.0,1000,4901
26,26,0.011311659007333219,11.0,1000,4901
27,27,0.011558313999557868,11.0,1000,4901
28,28,0.011800255015259609,11.0,1000,4901
29,29,0.012039005989208817,11.0,1000,4901
30,30,0.012285453994991258,11.0,1000,4901
31,31,0.01253129099495709,7.0,1000,4901
32,32,0.012778267991961911,8.0,1000,4901
33,33,0.013033717987127602,7.0,1000,4901
34,34,0.013272303011035547,7.0,1000,4901
35,35,0.01352643800782971,7.0,1000,4901
36,36,0.013778697000816464,7.0,1000,4901
37,37,0.014019766997080296,7.0,1000,4901
38,38,0.014269230014178902,7.0,1000,4901
39,39,0.014510345994494855,7.0,1000,4901
40,40,0.014753880997886881,7.0,1000,4901
41,41,0.014999973005615175,6.0,1000,4901
42,42,0.015248078998411074,6.0,1000,4901
43,43,0.015495172992814332,6.0,1000,4901
44,44,0.01573494399781339,6.0,1000,4901
45,45,0.015974928013747558,6.0,1000,4901
46,46,0.01621294900542125,6.0,1000,4901
47,47,0.01645952500985004,6.0,1000,4901
48,48,0.016720164014259353,6.0,1000,4901
49,49,0.016964356997050345,6.0,1000,4901
50,50,0.017214886989677325,6.0,1000,4901
51,51,0.017457267007557675,6.0,1000,4901
52,52,0.017730996012687683,6.0,1000,4901
53,53,0.017992729000980034,7.0,1000,4901
54,54,0.01823650998994708,6.0,1000,4901
55,55,0.01848528700065799,6.0,1000,4901
56,56,0.018732839002041146,6.0,1000,4901
57,57,0.018981831992277876,6.0,1000,4901
58,58,0.01922238801489584,6.0,1000,4901
59,59,0.019463306991383433,6.0,1000,4901
60,60,0.019711594010004774,6.0,1000,4901
61,61,0.019952367001678795,6.0,1000,4901
62,62,0.02019261399982497,6.0,1000,4901
63,63,0.02043301099911332,6.0,1000,4901
