,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0008851859965943731,117.0,50,0.1,1476
1,1,0.008256036999227945,117.0,50,0.1,1476
2,2,0.019902558000467252,117.0,50,0.1,1476
3,3,0.026209916999505367,117.0,50,0.1,1476
4,4,0.03252195099776145,118.0,50,0.1,1476
5,5,0.039379410998662934,125.0,50,0.1,1476
6,6,0.04613511700154049,125.0,50,0.1,1476
7,7,0.05244420899543911,125.0,50,0.1,1476
8,8,0.05874693099758588,125.0,50,0.1,1476
9,9,0.06500614200194832,125.0,50,0.1,1476
10,10,0.0712675449976814,125.0,50,0.1,1476
11,11,0.07750520899571711,126.0,50,0.1,1476
12,12,0.0843689989997074,126.0,50,0.1,1476
13,13,0.09069685800204752,128.0,50,0.1,1476
14,14,0.09748829699674388,130.0,50,0.1,1476
15,15,0.10429707000002963,130.0,50,0.1,1476
16,16,0.11062259799655294,130.0,50,0.1,1476
17,17,0.116928937000921,130.0,50,0.1,1476
18,18,0.12337751699669752,130.0,50,0.1,1476
19,19,0.1297723980023875,135.0,50,0.1,1476
20,20,0.13656656999955885,135.0,50,0.1,1476
21,21,0.14294865199917695,135.0,50,0.1,1476
22,22,0.1492495689963107,138.0,50,0.1,1476
23,23,0.15598444500210462,138.0,50,0.1,1476
24,24,0.16224649400101043,139.0,50,0.1,1476
25,25,0.16898990100162337,144.0,50,0.1,1476
26,26,0.17586196499905782,146.0,50,0.1,1476
27,27,0.1882310500004678,146.0,50,0.1,1476
28,28,0.19451116099662613,146.0,50,0.1,1476
29,29,0.2008329149975907,146.0,50,0.1,1476
30,30,0.20706555099604884,146.0,50,0.1,1476
31,31,0.213328323996393,146.0,50,0.1,1476
32,32,0.21963804600090953,146.0,50,0.1,1476
33,33,0.22602124299737625,148.0,50,0.1,1476
34,34,0.23283907499717316,150.0,50,0.1,1476
35,35,0.239649383998767,150.0,50,0.1,1476
36,36,0.2459209840017138,152.0,50,0.1,1476
37,37,0.25268908799625933,152.0,50,0.1,1476
38,38,0.25891582800250035,152.0,50,0.1,1476
39,39,0.26516985499620205,152.0,50,0.1,1476
40,40,0.27172527799848467,156.0,50,0.1,1476
41,41,0.27848297099990305,156.0,50,0.1,1476
42,42,0.2847565170013695,156.0,50,0.1,1476
43,43,0.29105531700042775,156.0,50,0.1,1476
44,44,0.2973298149954644,158.0,50,0.1,1476
45,45,0.3041172439989168,158.0,50,0.1,1476
46,46,0.31055340899911243,158.0,50,0.1,1476
47,47,0.31680351099930704,158.0,50,0.1,1476
48,48,0.323082238995994,160.0,50,0.1,1476
49,49,0.3299583019979764,160.0,50,0.1,1476
50,50,0.3362779929957469,162.0,50,0.1,1476
51,51,0.343049417999282,162.0,50,0.1,1476
52,52,0.35516450100112706,164.0,50,0.1,1476
53,53,0.36191503599548014,164.0,50,0.1,1476
54,54,0.36820601300132694,164.0,50,0.1,1476
55,55,0.37472519299626583,164.0,50,0.1,1476
56,56,0.3811863969967817,164.0,50,0.1,1476
57,57,0.3875018489998183,164.0,50,0.1,1476
58,58,0.3938206899983925,164.0,50,0.1,1476
59,59,0.4002051989955362,164.0,50,0.1,1476
60,60,0.4065366439972422,164.0,50,0.1,1476
61,61,0.41291963399999077,164.0,50,0.1,1476
62,62,0.41921725899737794,166.0,50,0.1,1476
63,63,0.4259498550018179,166.0,50,0.1,1476
64,64,0.43221277999691665,166.0,50,0.1,1476
65,65,0.438531478997902,166.0,50,0.1,1476
66,66,0.4447729649982648,166.0,50,0.1,1476
67,67,0.45105215800140286,166.0,50,0.1,1476
68,68,0.45735914800025057,166.0,50,0.1,1476
69,69,0.4636461159971077,168.0,50,0.1,1476
70,70,0.4704165529983584,168.0,50,0.1,1476
71,71,0.4766725959998439,168.0,50,0.1,1476
72,72,0.4829271720009274,168.0,50,0.1,1476
73,73,0.48917628599883756,168.0,50,0.1,1476
74,74,0.4954629709973233,168.0,50,0.1,1476
75,75,0.5017014339973684,168.0,50,0.1,1476
76,76,0.5079684939992148,168.0,50,0.1,1476
77,77,0.5204860820012982,168.0,50,0.1,1476
78,78,0.5267140509968158,168.0,50,0.1,1476
79,79,0.5329753330006497,168.0,50,0.1,1476
80,80,0.5391901069961023,168.0,50,0.1,1476
81,81,0.5454505599991535,168.0,50,0.1,1476
82,82,0.5517057300021406,168.0,50,0.1,1476
83,83,0.5579056220012717,168.0,50,0.1,1476
84,84,0.5641841530014062,168.0,50,0.1,1476
85,85,0.5704013840004336,168.0,50,0.1,1476
86,86,0.5766214100003708,170.0,50,0.1,1476
87,87,0.5833341229954385,170.0,50,0.1,1476
88,88,0.5895890739993774,170.0,50,0.1,1476
89,89,0.5958973989982042,170.0,50,0.1,1476
90,90,0.6024339630021132,170.0,50,0.1,1476
91,91,0.6086557199960225,170.0,50,0.1,1476
92,92,0.6149250169983134,170.0,50,0.1,1476
93,93,0.6211802769976202,170.0,50,0.1,1476
94,94,0.6274649240003782,170.0,50,0.1,1476
95,95,0.6337102100005723,170.0,50,0.1,1476
96,96,0.6400028349962668,170.0,50,0.1,1476
97,97,0.64621046299726,170.0,50,0.1,1476
98,98,0.6524218769991421,170.0,50,0.1,1476
99,99,0.6587195819956833,170.0,50,0.1,1476
100,100,0.664938162000908,170.0,50,0.1,1476
101,101,0.6711866350015043,170.0,50,0.1,1476
102,102,0.6835064319966477,170.0,50,0.1,1476
103,103,0.6898343060020125,170.0,50,0.1,1476
104,104,0.696079611996538,170.0,50,0.1,1476
105,105,0.702315267000813,170.0,50,0.1,1476
106,106,0.7085238680010661,170.0,50,0.1,1476
107,107,0.7147583729965845,170.0,50,0.1,1476
108,108,0.7210046959953615,170.0,50,0.1,1476
109,109,0.7273364369975752,170.0,50,0.1,1476
110,110,0.733547974996327,170.0,50,0.1,1476
111,111,0.7398188250008388,170.0,50,0.1,1476
112,112,0.7459985000023153,170.0,50,0.1,1476
113,113,0.7522653519990854,170.0,50,0.1,1476
114,114,0.7586039609959698,170.0,50,0.1,1476
115,115,0.7648224820004543,170.0,50,0.1,1476
116,116,0.7710325399966678,170.0,50,0.1,1476
117,117,0.7772969719953835,170.0,50,0.1,1476
118,118,0.783558137001819,170.0,50,0.1,1476
119,119,0.789817076001782,170.0,50,0.1,1476
120,120,0.7961422160005895,170.0,50,0.1,1476
121,121,0.8024181660002796,170.0,50,0.1,1476
122,122,0.8086224790022243,170.0,50,0.1,1476
123,123,0.8148750870022923,170.0,50,0.1,1476
124,124,0.8211602689989377,170.0,50,0.1,1476
125,125,0.8273659690021304,170.0,50,0.1,1476
126,126,0.8335782750000362,170.0,50,0.1,1476
127,127,0.8462967480008956,170.0,50,0.1,1476
128,128,0.8525618979983847,170.0,50,0.1,1476
129,129,0.8588893119958811,170.0,50,0.1,1476
130,130,0.865151074998721,170.0,50,0.1,1476
131,131,0.8714810839956044,170.0,50,0.1,1476
132,132,0.8778049559987267,170.0,50,0.1,1476
133,133,0.8841166459969827,170.0,50,0.1,1476
134,134,0.8904295769971213,170.0,50,0.1,1476
135,135,0.896707489999244,170.0,50,0.1,1476
136,136,0.9029774279988487,170.0,50,0.1,1476
137,137,0.9092326140016667,170.0,50,0.1,1476
138,138,0.915510140999686,170.0,50,0.1,1476
139,139,0.921913277998101,170.0,50,0.1,1476
140,140,0.928196745000605,170.0,50,0.1,1476
141,141,0.9344625699959579,170.0,50,0.1,1476
142,142,0.9407521260000067,170.0,50,0.1,1476
143,143,0.9470115849981084,170.0,50,0.1,1476
144,144,0.953318212996237,170.0,50,0.1,1476
145,145,0.9596084809963941,170.0,50,0.1,1476
146,146,0.965966641997511,170.0,50,0.1,1476
147,147,0.9722263009971357,170.0,50,0.1,1476
148,148,0.9785698100022273,170.0,50,0.1,1476
149,149,0.9847872909958824,170.0,50,0.1,1476
150,150,0.9910593090025941,170.0,50,0.1,1476
151,151,0.9973388270009309,170.0,50,0.1,1476
152,152,1.0100701979972655,170.0,50,0.1,1476
153,153,1.0163252179991105,170.0,50,0.1,1476
154,154,1.0225355899965507,170.0,50,0.1,1476
155,155,1.0287821870006155,170.0,50,0.1,1476
156,156,1.0349834539956646,170.0,50,0.1,1476
157,157,1.0411857610015431,170.0,50,0.1,1476
158,158,1.0473568129964406,170.0,50,0.1,1476
