,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00822493099985877,126.0,True,1500,0.2,149
1,1,0.3473970150007517,128.0,True,1500,0.2,149
2,2,0.7113158840002143,135.0,True,1500,0.2,149
3,3,1.0665347199974349,137.0,True,1500,0.2,149
4,4,1.4126820730016334,145.0,True,1500,0.2,149
5,5,1.7738892179986578,145.0,True,1500,0.2,149
6,6,2.150059384002816,146.0,True,1500,0.2,149
7,7,2.5397834699979285,155.0,True,1500,0.2,149
8,8,2.897887847997481,155.0,True,1500,0.2,149
9,9,3.2898288630021852,156.0,True,1500,0.2,149
10,10,3.637437596997188,162.0,True,1500,0.2,149
11,11,4.001231893002114,165.0,True,1500,0.2,149
12,12,4.356304754997836,170.0,True,1500,0.2,149
13,13,4.718443550002121,176.0,True,1500,0.2,149
14,14,5.099091721996956,178.0,True,1500,0.2,149
15,15,5.510240885996609,181.0,True,1500,0.2,149
16,16,5.915062234002107,185.0,True,1500,0.2,149
17,17,6.327277356002014,188.0,True,1500,0.2,149
18,18,6.774461057000735,190.0,True,1500,0.2,149
19,19,7.195710656000301,192.0,True,1500,0.2,149
20,20,7.60570692300098,192.0,True,1500,0.2,149
21,21,7.975999077003507,193.0,True,1500,0.2,149
22,22,8.415891379998357,194.0,True,1500,0.2,149
23,23,8.898027545001241,194.0,True,1500,0.2,149
24,24,9.427543085999787,194.0,True,1500,0.2,149
25,25,9.834065340997768,194.0,True,1500,0.2,149
26,26,10.45244553899829,194.0,True,1500,0.2,149
27,27,10.916001694997249,194.0,True,1500,0.2,149
28,28,12.309968850000587,194.0,True,1500,0.2,149
29,29,13.726193194997904,194.0,True,1500,0.2,149
30,30,15.137056179002684,194.0,True,1500,0.2,149
31,31,16.53575764800189,194.0,True,1500,0.2,149
32,32,17.93326685699867,194.0,True,1500,0.2,149
33,33,19.315614484003163,194.0,True,1500,0.2,149
34,34,20.715959004002798,194.0,True,1500,0.2,149
35,35,22.11968595899816,194.0,True,1500,0.2,149
36,36,23.518235941999592,194.0,True,1500,0.2,149
37,37,24.910634218998894,194.0,True,1500,0.2,149
38,38,26.3022916550035,194.0,True,1500,0.2,149
39,39,27.68554110099649,194.0,True,1500,0.2,149
40,40,29.08426326300105,194.0,True,1500,0.2,149
41,41,30.464139356001397,194.0,True,1500,0.2,149
42,42,31.862582077003026,194.0,True,1500,0.2,149
43,43,33.25832363600057,194.0,True,1500,0.2,149
44,44,34.66658145999827,194.0,True,1500,0.2,149
45,45,36.07106253600068,194.0,True,1500,0.2,149
46,46,37.475522553999326,194.0,True,1500,0.2,149
47,47,38.86825578400021,194.0,True,1500,0.2,149
