,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,57422.0,0.0028292120005062316,"[37, 43, 12, 8, 9, 11, 5, 15, 0, 16, 1, 12, 7, 45, 6, 25, 20, 37, 18, 20, 11, 42, 28, 29, 14, 4, 23, 23, 41, 49, 30, 32, 22, 13, 41, 9, 7, 22, 1, 0, 17, 8, 24, 13, 47, 42, 8, 30, 7, 3, 6, 21, 49, 3, 4, 24, 49, 43, 12, 26, 16, 45, 41, 18, 15, 0, 4, 25, 47, 34, 23, 7, 26, 25, 40, 22, 9, 3, 39, 23, 36, 27, 37, 19, 38, 8, 32, 34, 10, 23, 15, 47, 23, 25, 7, 28, 10, 46, 32, 24]",75,0.9,1476
1,1,65183.0,0.009856726001089555,"[30, 27, 41, 14, 45, 49, 21, 25, 9, 10, 6, 2, 30, 13, 14, 27, 32, 42, 18, 19, 25, 24, 42, 4, 11, 24, 22, 6, 4, 15, 28, 30, 39, 48, 46, 21, 27, 5, 35, 8, 18, 46, 48, 44, 37, 30, 24, 48, 42, 40, 43, 21, 28, 40, 47, 23, 28, 20, 25, 37, 5, 48, 23, 49, 4, 20, 13, 29, 28, 27, 28, 39, 17, 5, 19, 8, 15, 36, 48, 28, 28, 32, 24, 14, 31, 9, 11, 20, 13, 48, 47, 32, 45, 49, 19, 19, 33, 42, 41, 19]",75,0.9,1476
2,26,75644.0,0.1798302990009688,"[48, 20, 8, 48, 6, 42, 20, 35, 41, 29, 34, 46, 1, 32, 14, 27, 32, 42, 18, 19, 44, 35, 13, 41, 36, 36, 40, 18, 33, 38, 46, 40, 25, 39, 48, 37, 2, 34, 28, 14, 46, 42, 26, 40, 21, 16, 28, 37, 41, 45, 40, 42, 11, 22, 6, 32, 14, 36, 23, 11, 35, 32, 46, 27, 49, 38, 0, 37, 28, 27, 28, 39, 17, 5, 37, 38, 15, 36, 48, 28, 28, 32, 42, 37, 30, 39, 26, 14, 42, 46, 5, 43, 35, 7, 37, 19, 33, 42, 28, 45]",75,0.9,1476
3,51,82373.0,0.3501423050001904,"[44, 26, 8, 48, 6, 42, 20, 35, 41, 29, 34, 46, 19, 15, 32, 31, 45, 34, 46, 46, 46, 49, 26, 41, 0, 36, 40, 18, 33, 38, 33, 40, 25, 39, 46, 21, 27, 13, 35, 8, 18, 40, 48, 44, 37, 30, 24, 48, 42, 40, 43, 21, 49, 14, 10, 25, 49, 47, 44, 11, 35, 32, 46, 27, 49, 38, 9, 22, 28, 25, 28, 39, 39, 5, 48, 38, 41, 36, 48, 28, 27, 32, 42, 14, 48, 38, 11, 20, 13, 11, 47, 32, 45, 30, 19, 19, 33, 42, 30, 49]",75,0.9,1476
4,76,86013.0,0.5212668530002702,"[44, 26, 8, 48, 6, 42, 20, 35, 41, 47, 34, 46, 19, 15, 32, 47, 45, 34, 46, 49, 46, 49, 21, 41, 0, 36, 40, 18, 33, 38, 33, 40, 20, 39, 46, 33, 25, 13, 35, 7, 18, 40, 48, 44, 37, 30, 24, 48, 42, 40, 43, 21, 49, 14, 10, 25, 49, 47, 44, 0, 35, 32, 46, 27, 49, 38, 0, 45, 33, 27, 28, 39, 38, 5, 48, 38, 41, 36, 48, 28, 27, 32, 42, 37, 31, 42, 38, 20, 13, 12, 1, 32, 45, 42, 19, 19, 33, 42, 41, 49]",75,0.9,1476
5,101,87799.0,0.6955964360004145,"[14, 20, 8, 48, 6, 42, 20, 40, 41, 48, 10, 38, 19, 41, 32, 42, 45, 34, 46, 49, 46, 49, 26, 41, 0, 36, 44, 18, 33, 38, 33, 40, 25, 39, 46, 21, 27, 13, 35, 45, 18, 40, 48, 44, 37, 30, 24, 48, 34, 40, 43, 21, 49, 14, 10, 4, 49, 47, 44, 11, 35, 37, 46, 42, 49, 37, 0, 49, 44, 27, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 27, 2, 42, 37, 31, 42, 38, 20, 13, 12, 1, 32, 45, 42, 19, 19, 33, 42, 41, 49]",75,0.9,1476
6,126,89268.0,0.8669052010009182,"[24, 26, 8, 48, 6, 42, 22, 40, 41, 48, 10, 38, 47, 15, 32, 42, 45, 34, 46, 46, 6, 49, 22, 36, 0, 36, 3, 18, 33, 38, 33, 40, 15, 39, 46, 21, 27, 13, 44, 45, 18, 40, 48, 44, 37, 44, 46, 48, 34, 40, 43, 21, 49, 14, 10, 25, 49, 47, 44, 0, 35, 46, 46, 42, 49, 37, 0, 49, 44, 27, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 27, 32, 42, 37, 31, 39, 38, 20, 13, 12, 2, 32, 45, 30, 19, 19, 48, 42, 41, 49]",75,0.9,1476
7,151,90823.0,1.0385516549995373,"[24, 26, 1, 48, 6, 42, 12, 40, 41, 48, 10, 38, 47, 15, 32, 42, 45, 34, 46, 46, 46, 49, 26, 39, 0, 36, 3, 18, 33, 38, 33, 40, 15, 39, 46, 35, 27, 13, 44, 45, 45, 40, 48, 44, 37, 44, 46, 48, 34, 40, 43, 21, 49, 14, 10, 25, 49, 47, 44, 0, 35, 46, 46, 42, 49, 37, 0, 49, 44, 27, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 27, 32, 42, 37, 31, 39, 38, 20, 13, 12, 2, 32, 45, 35, 19, 19, 48, 42, 41, 49]",75,0.9,1476
8,176,91271.0,1.2110450950003724,"[24, 26, 1, 48, 6, 42, 12, 40, 41, 48, 10, 38, 47, 15, 32, 45, 45, 34, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 33, 38, 33, 40, 15, 39, 46, 35, 27, 13, 44, 45, 45, 40, 48, 44, 37, 44, 46, 48, 34, 40, 43, 21, 49, 14, 10, 24, 49, 47, 44, 0, 35, 46, 46, 42, 49, 37, 0, 49, 44, 27, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 33, 32, 42, 47, 31, 39, 38, 20, 13, 12, 2, 32, 45, 30, 19, 19, 48, 49, 41, 49]",75,0.9,1476
9,201,91843.0,1.3826490720002766,"[24, 26, 1, 48, 6, 42, 12, 40, 41, 48, 10, 38, 47, 15, 32, 45, 45, 34, 46, 46, 46, 49, 12, 39, 0, 36, 3, 18, 33, 38, 33, 40, 1, 39, 46, 35, 27, 13, 44, 45, 45, 40, 48, 44, 37, 44, 46, 48, 34, 40, 43, 21, 49, 14, 10, 24, 49, 47, 44, 0, 35, 46, 46, 42, 49, 37, 0, 49, 44, 47, 10, 39, 38, 5, 48, 38, 41, 41, 48, 28, 27, 32, 42, 47, 41, 39, 38, 20, 13, 12, 2, 32, 45, 30, 19, 19, 48, 49, 46, 49]",75,0.9,1476
