,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,60722.0,0.002929815000243252,"[9, 15, 44, 33, 44, 0, 40, 11, 11, 8, 30, 44, 27, 0, 41, 12, 47, 21, 3, 19, 19, 9, 45, 24, 39, 5, 6, 16, 30, 44, 1, 10, 30, 32, 42, 34, 18, 21, 3, 16, 26, 45, 33, 3, 29, 44, 4, 47, 18, 19, 17, 45, 12, 19, 20, 18, 23, 2, 43, 28, 29, 36, 26, 29, 23, 36, 29, 41, 30, 20, 16, 26, 8, 46, 7, 35, 28, 48, 44, 5, 44, 5, 36, 2, 0, 11, 29, 9, 37, 36, 18, 43, 4, 35, 47, 1, 39, 35, 47, 24]",75,0.3,1476
1,1,66587.0,0.00979280700084928,"[4, 24, 7, 32, 11, 19, 34, 3, 4, 28, 45, 15, 5, 25, 18, 27, 48, 43, 35, 46, 34, 49, 47, 16, 18, 1, 47, 8, 36, 10, 5, 31, 48, 23, 10, 15, 14, 31, 3, 14, 29, 14, 42, 11, 45, 49, 3, 43, 11, 30, 22, 15, 46, 25, 8, 26, 15, 40, 41, 25, 38, 41, 40, 47, 34, 32, 35, 44, 41, 20, 38, 29, 4, 5, 40, 13, 21, 25, 40, 25, 40, 41, 8, 10, 21, 6, 29, 46, 4, 40, 28, 21, 27, 33, 17, 36, 41, 41, 14, 39]",75,0.3,1476
2,26,79559.0,0.17389930700119294,"[6, 12, 30, 32, 11, 19, 47, 22, 36, 21, 37, 24, 30, 20, 18, 27, 48, 43, 35, 46, 34, 39, 47, 45, 37, 11, 11, 30, 28, 42, 12, 25, 42, 42, 40, 33, 40, 43, 6, 34, 48, 40, 42, 11, 45, 49, 3, 43, 11, 30, 22, 15, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 49, 32, 35, 44, 41, 20, 31, 38, 22, 25, 9, 40, 23, 36, 33, 9, 23, 23, 49, 35, 45, 41, 34, 17, 24, 11, 13, 41, 37, 38, 49, 26, 28, 35, 38, 46]",75,0.3,1476
3,51,83118.0,0.3393694830010645,"[16, 42, 6, 48, 45, 21, 25, 14, 44, 37, 13, 24, 45, 49, 9, 46, 35, 44, 35, 46, 27, 48, 2, 49, 22, 45, 1, 43, 46, 47, 0, 25, 42, 42, 40, 33, 40, 43, 6, 34, 48, 40, 42, 11, 45, 49, 3, 43, 11, 30, 22, 15, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 49, 32, 35, 44, 41, 46, 31, 38, 22, 25, 9, 40, 23, 36, 33, 9, 23, 23, 49, 35, 45, 41, 34, 17, 24, 11, 13, 41, 37, 21, 49, 48, 28, 35, 38, 46]",75,0.3,1476
4,76,85710.0,0.5057613740009401,"[16, 42, 23, 48, 45, 21, 25, 14, 44, 37, 13, 24, 45, 49, 9, 46, 35, 44, 34, 46, 27, 48, 2, 49, 22, 45, 1, 5, 46, 47, 0, 45, 42, 42, 40, 33, 40, 43, 25, 48, 48, 40, 42, 11, 41, 49, 3, 43, 11, 30, 22, 15, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 31, 30, 35, 44, 41, 46, 31, 38, 22, 25, 31, 40, 23, 48, 46, 9, 23, 23, 49, 22, 45, 41, 34, 17, 12, 11, 13, 41, 37, 38, 49, 36, 28, 35, 38, 46]",75,0.3,1476
5,101,86571.0,0.6709910050012695,"[16, 42, 6, 48, 45, 21, 25, 14, 44, 37, 13, 24, 45, 49, 9, 46, 48, 43, 35, 46, 27, 48, 2, 49, 22, 45, 1, 5, 46, 47, 0, 45, 42, 42, 40, 38, 40, 43, 25, 48, 48, 40, 42, 11, 41, 49, 10, 43, 11, 30, 27, 15, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 31, 32, 35, 44, 41, 46, 31, 38, 22, 25, 31, 40, 23, 48, 46, 9, 23, 23, 49, 22, 45, 41, 34, 17, 2, 11, 13, 41, 37, 38, 49, 36, 28, 35, 38, 46]",75,0.3,1476
6,126,87305.0,0.8367528760009009,"[16, 42, 6, 48, 45, 21, 25, 14, 44, 37, 13, 24, 45, 49, 9, 46, 48, 43, 35, 46, 27, 48, 2, 49, 22, 45, 1, 5, 46, 47, 11, 45, 42, 42, 40, 38, 40, 43, 25, 48, 48, 40, 47, 11, 41, 49, 10, 43, 11, 30, 27, 11, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 31, 32, 35, 44, 41, 46, 14, 41, 22, 25, 31, 40, 48, 48, 46, 9, 33, 23, 49, 22, 45, 41, 34, 17, 2, 11, 13, 41, 37, 38, 49, 36, 28, 35, 38, 46]",75,0.3,1476
7,151,87704.0,1.0079641080010333,"[16, 42, 6, 48, 45, 21, 25, 14, 44, 37, 13, 24, 45, 49, 9, 48, 48, 43, 35, 46, 6, 48, 2, 49, 22, 45, 1, 5, 46, 47, 0, 45, 42, 42, 40, 38, 40, 43, 25, 48, 48, 40, 47, 11, 41, 49, 10, 43, 11, 30, 27, 11, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 31, 32, 35, 44, 41, 46, 14, 41, 22, 25, 31, 40, 48, 48, 46, 9, 48, 40, 49, 22, 45, 41, 34, 17, 2, 11, 13, 41, 37, 38, 49, 36, 28, 35, 38, 46]",75,0.3,1476
8,176,88070.0,1.172627995001676,"[16, 42, 6, 48, 45, 21, 25, 14, 44, 37, 13, 24, 45, 49, 9, 48, 48, 43, 41, 46, 6, 48, 2, 49, 22, 45, 1, 5, 46, 47, 0, 45, 42, 42, 40, 38, 40, 43, 25, 48, 48, 40, 47, 11, 41, 49, 10, 43, 11, 30, 27, 11, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 31, 32, 35, 44, 41, 46, 14, 41, 22, 25, 31, 40, 48, 48, 46, 9, 48, 40, 49, 22, 45, 41, 34, 17, 2, 11, 13, 41, 37, 38, 49, 36, 28, 35, 38, 49]",75,0.3,1476
9,201,88578.0,1.3377651840000908,"[16, 42, 6, 48, 45, 21, 25, 14, 44, 37, 8, 24, 45, 49, 9, 48, 48, 43, 41, 46, 6, 48, 2, 49, 22, 45, 1, 5, 46, 47, 10, 45, 42, 42, 40, 38, 40, 43, 25, 48, 48, 40, 47, 11, 41, 49, 10, 43, 11, 30, 27, 11, 46, 25, 8, 26, 15, 40, 34, 12, 38, 41, 40, 47, 31, 32, 35, 44, 41, 46, 14, 41, 40, 25, 31, 40, 48, 48, 46, 9, 48, 40, 49, 22, 45, 41, 34, 17, 2, 11, 13, 41, 37, 38, 49, 36, 28, 35, 38, 49]",75,0.3,1476
