,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0028874170093331486,68739.0,75,0.7,1476
1,1,0.009947334008757025,68739.0,75,0.7,1476
2,2,0.02100104800774716,69196.0,75,0.7,1476
3,3,0.02776100701885298,69196.0,75,0.7,1476
4,4,0.03446459901169874,71163.0,75,0.7,1476
5,5,0.04109735001111403,71163.0,75,0.7,1476
6,6,0.04771957700722851,72684.0,75,0.7,1476
7,7,0.05432666200795211,72684.0,75,0.7,1476
8,8,0.06092441701912321,74355.0,75,0.7,1476
9,9,0.06770363700343296,74355.0,75,0.7,1476
10,10,0.0743498100200668,74980.0,75,0.7,1476
11,11,0.08094814899959601,75234.0,75,0.7,1476
12,12,0.08762143200146966,75234.0,75,0.7,1476
13,13,0.09415870701195672,75291.0,75,0.7,1476
14,14,0.10081378699396737,75791.0,75,0.7,1476
15,15,0.10744481300935149,75791.0,75,0.7,1476
16,16,0.11411363701336086,77103.0,75,0.7,1476
17,17,0.12073792700539343,77483.0,75,0.7,1476
18,18,0.1274371580220759,77483.0,75,0.7,1476
19,19,0.13403880799887702,78787.0,75,0.7,1476
20,20,0.14067015799810179,80403.0,75,0.7,1476
21,21,0.14727011500508524,80403.0,75,0.7,1476
22,22,0.15389330202015117,80403.0,75,0.7,1476
23,23,0.1604926050058566,80403.0,75,0.7,1476
24,24,0.16717887102277018,80836.0,75,0.7,1476
25,25,0.1738056729955133,80836.0,75,0.7,1476
26,26,0.18036279900115915,80836.0,75,0.7,1476
27,27,0.19172257301397622,80836.0,75,0.7,1476
28,28,0.19840290400316007,80836.0,75,0.7,1476
29,29,0.20506515700253658,80836.0,75,0.7,1476
30,30,0.21224874100880697,80836.0,75,0.7,1476
31,31,0.21902968600625172,80978.0,75,0.7,1476
32,32,0.22568737601977773,80978.0,75,0.7,1476
33,33,0.2324553630023729,81033.0,75,0.7,1476
34,34,0.23914462499669753,81160.0,75,0.7,1476
35,35,0.24580168002285063,81160.0,75,0.7,1476
36,36,0.25248203400406055,81534.0,75,0.7,1476
37,37,0.25917705200845376,81546.0,75,0.7,1476
