,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0010112559830304235,63539.0,25,0.5,776
1,1,0.0036192580009810627,65921.0,25,0.5,776
2,2,0.010042150999652222,71938.0,25,0.5,776
3,3,0.012268097983906046,71938.0,25,0.5,776
4,4,0.01444796400028281,71938.0,25,0.5,776
5,5,0.016664404975017533,71938.0,25,0.5,776
6,6,0.018845808983314782,71938.0,25,0.5,776
7,7,0.021097322984132916,71938.0,25,0.5,776
8,8,0.023582041991176084,72621.0,25,0.5,776
9,9,0.025829875987255946,72621.0,25,0.5,776
10,10,0.027999488986097276,72621.0,25,0.5,776
11,11,0.030351986992172897,72739.0,25,0.5,776
12,12,0.03263910498935729,73042.0,25,0.5,776
13,13,0.03484458097955212,73097.0,25,0.5,776
14,14,0.03705418499885127,73735.0,25,0.5,776
15,15,0.03923196697724052,73735.0,25,0.5,776
16,16,0.041735458973562345,74497.0,25,0.5,776
17,17,0.044001963979098946,74497.0,25,0.5,776
18,18,0.04625961699639447,74497.0,25,0.5,776
19,19,0.04843755697947927,74497.0,25,0.5,776
20,20,0.0506385879998561,74629.0,25,0.5,776
21,21,0.052859609975712374,74629.0,25,0.5,776
22,22,0.0550362009962555,74715.0,25,0.5,776
23,23,0.05752879398642108,74715.0,25,0.5,776
24,24,0.059689470974262804,75130.0,25,0.5,776
25,25,0.061873012979049236,75130.0,25,0.5,776
26,26,0.06407296197721735,75210.0,25,0.5,776
27,27,0.07078779197763652,75262.0,25,0.5,776
28,28,0.07331621900084428,75262.0,25,0.5,776
29,29,0.0756755989859812,75798.0,25,0.5,776
30,30,0.07793568598572165,75798.0,25,0.5,776
31,31,0.08011602898477577,75798.0,25,0.5,776
32,32,0.08237079399987124,76287.0,25,0.5,776
33,33,0.08458253898425028,76326.0,25,0.5,776
34,34,0.08682870797929354,76489.0,25,0.5,776
35,35,0.0890681259916164,76489.0,25,0.5,776
36,36,0.09153529899776913,76529.0,25,0.5,776
37,37,0.09377473697531968,76831.0,25,0.5,776
38,38,0.09592972198151983,77291.0,25,0.5,776
39,39,0.09821156298858114,77291.0,25,0.5,776
40,40,0.10036317797494121,77291.0,25,0.5,776
41,41,0.10257578297751024,77395.0,25,0.5,776
42,42,0.10486922299605794,77395.0,25,0.5,776
43,43,0.10737767998944037,77699.0,25,0.5,776
44,44,0.10962989999097772,77699.0,25,0.5,776
45,45,0.11178917298093438,77749.0,25,0.5,776
46,46,0.11403539098682813,77749.0,25,0.5,776
47,47,0.1161970559915062,77749.0,25,0.5,776
48,48,0.11845274397637695,77749.0,25,0.5,776
49,49,0.12066290498478338,77825.0,25,0.5,776
50,50,0.1231743389798794,78161.0,25,0.5,776
51,51,0.1253995209990535,78247.0,25,0.5,776
52,52,0.13208965898957103,78247.0,25,0.5,776
53,53,0.13431735199992545,78247.0,25,0.5,776
54,54,0.13648122997255996,78283.0,25,0.5,776
55,55,0.13871156398090534,78636.0,25,0.5,776
56,56,0.14111140099703334,78636.0,25,0.5,776
57,57,0.14333607300068252,78636.0,25,0.5,776
58,58,0.1456063489895314,78636.0,25,0.5,776
59,59,0.14779587497469038,78636.0,25,0.5,776
60,60,0.1499900719791185,78636.0,25,0.5,776
61,61,0.15216851199511439,78888.0,25,0.5,776
62,62,0.15443298398167826,78888.0,25,0.5,776
63,63,0.15680556697770953,78958.0,25,0.5,776
64,64,0.1590702249959577,78958.0,25,0.5,776
65,65,0.16121792799094692,78958.0,25,0.5,776
66,66,0.16343377498560585,78958.0,25,0.5,776
67,67,0.1656381799839437,78958.0,25,0.5,776
68,68,0.16783554200083017,79387.0,25,0.5,776
69,69,0.1700415149971377,79555.0,25,0.5,776
70,70,0.1722705540014431,79555.0,25,0.5,776
71,71,0.1746930289955344,79555.0,25,0.5,776
72,72,0.17691010897397064,79582.0,25,0.5,776
73,73,0.17917669398593716,79754.0,25,0.5,776
74,74,0.18138893297873437,79754.0,25,0.5,776
75,75,0.18358079699100927,80852.0,25,0.5,776
76,76,0.18583005099208094,80852.0,25,0.5,776
77,77,0.19289335398934782,80852.0,25,0.5,776
78,78,0.1951503869786393,80852.0,25,0.5,776
79,79,0.197337178979069,80852.0,25,0.5,776
80,80,0.19960458399145864,80852.0,25,0.5,776
81,81,0.20185902397497557,80852.0,25,0.5,776
82,82,0.2040704499813728,80852.0,25,0.5,776
83,83,0.206476417981321,80876.0,25,0.5,776
84,84,0.20875442199758254,80931.0,25,0.5,776
85,85,0.21100625998224132,80931.0,25,0.5,776
86,86,0.21316541897249408,80963.0,25,0.5,776
87,87,0.21545225600129925,81580.0,25,0.5,776
88,88,0.21763591698254459,81580.0,25,0.5,776
89,89,0.219858133001253,81580.0,25,0.5,776
90,90,0.2220765370002482,81724.0,25,0.5,776
91,91,0.22450648198719136,81724.0,25,0.5,776
92,92,0.2267123709898442,81779.0,25,0.5,776
93,93,0.22898940698360093,81779.0,25,0.5,776
94,94,0.23119197698542848,81797.0,25,0.5,776
95,95,0.23341773997526616,82321.0,25,0.5,776
96,96,0.23566419098642655,82321.0,25,0.5,776
97,97,0.2378723279980477,82321.0,25,0.5,776
98,98,0.2402523599739652,82508.0,25,0.5,776
99,99,0.2424602439859882,82508.0,25,0.5,776
100,100,0.24472920497646555,82508.0,25,0.5,776
101,101,0.2469575199938845,82520.0,25,0.5,776
102,102,0.253932163992431,82520.0,25,0.5,776
103,103,0.25618129898793995,82520.0,25,0.5,776
104,104,0.2585654119902756,82848.0,25,0.5,776
105,105,0.26113259597332217,82848.0,25,0.5,776
106,106,0.2637795259943232,82964.0,25,0.5,776
107,107,0.26613455297774635,82964.0,25,0.5,776
108,108,0.2683184889901895,82964.0,25,0.5,776
109,109,0.27068234398029745,83201.0,25,0.5,776
110,110,0.27293373897555284,83201.0,25,0.5,776
111,111,0.27532549999887124,83201.0,25,0.5,776
112,112,0.2775509159837384,83201.0,25,0.5,776
113,113,0.2797868939815089,83364.0,25,0.5,776
114,114,0.2820413000008557,84089.0,25,0.5,776
115,115,0.2842443749832455,84089.0,25,0.5,776
116,116,0.2864724979735911,84089.0,25,0.5,776
117,117,0.2886174349987414,84089.0,25,0.5,776
118,118,0.291050332976738,84089.0,25,0.5,776
119,119,0.2932194799941499,84089.0,25,0.5,776
120,120,0.29549781198147684,84089.0,25,0.5,776
121,121,0.29772898799274117,84089.0,25,0.5,776
122,122,0.2999635489832144,84089.0,25,0.5,776
123,123,0.30216351299895905,84222.0,25,0.5,776
124,124,0.30435053299879655,84222.0,25,0.5,776
125,125,0.30672396399313584,84284.0,25,0.5,776
126,126,0.3089383749756962,84398.0,25,0.5,776
127,127,0.31606537697371095,84398.0,25,0.5,776
128,128,0.31833183599519543,84627.0,25,0.5,776
129,129,0.32053921598708257,84627.0,25,0.5,776
130,130,0.3229975109861698,84643.0,25,0.5,776
131,131,0.32535768699017353,84657.0,25,0.5,776
132,132,0.3275767079903744,84657.0,25,0.5,776
133,133,0.32985698597622104,84678.0,25,0.5,776
134,134,0.33212296199053526,85049.0,25,0.5,776
135,135,0.3344176639802754,85049.0,25,0.5,776
136,136,0.3366331139986869,85049.0,25,0.5,776
137,137,0.3389334449893795,85049.0,25,0.5,776
138,138,0.3412924069853034,85049.0,25,0.5,776
139,139,0.3435999959765468,85384.0,25,0.5,776
140,140,0.34582459297962487,85384.0,25,0.5,776
141,141,0.34803725697565824,85384.0,25,0.5,776
142,142,0.35022205297718756,85384.0,25,0.5,776
143,143,0.352441042981809,85393.0,25,0.5,776
144,144,0.35468211298575625,85471.0,25,0.5,776
145,145,0.3569955009734258,85471.0,25,0.5,776
146,146,0.3592051529849414,85486.0,25,0.5,776
147,147,0.3614501509873662,85898.0,25,0.5,776
