,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,60467.0,0.00315106101334095,"[28, 22, 1, 22, 40, 49, 27, 33, 29, 28, 0, 46, 24, 10, 29, 42, 12, 18, 22, 1, 35, 11, 37, 19, 38, 9, 16, 49, 40, 13, 33, 13, 29, 44, 22, 40, 4, 35, 0, 10, 16, 4, 47, 5, 24, 19, 30, 40, 4, 8, 0, 1, 34, 45, 27, 44, 13, 7, 15, 48, 46, 38, 2, 29, 34, 46, 19, 41, 42, 49, 19, 48, 17, 32, 34, 16, 36, 42, 48, 14, 11, 29, 7, 27, 32, 18, 36, 27, 0, 1, 38, 44, 23, 33, 44, 22, 18, 21, 32, 16]",75,0.05,976
1,1,71132.0,0.010428306995891035,"[26, 47, 3, 36, 42, 3, 29, 29, 22, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 44, 41, 22, 37, 36, 0, 28, 20, 28, 28, 45, 43, 38, 9, 15, 24, 4, 30, 25, 38, 32, 9, 10, 21, 42, 39, 9, 25, 35, 48, 46, 6, 43, 45, 32, 48, 39, 48, 31, 30, 6, 40, 11, 37, 29, 4, 5, 20, 21, 19, 33, 36, 49, 22, 35, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 20, 4, 28, 0, 4, 46, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
2,26,79572.0,0.18438848201185465,"[36, 49, 28, 28, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 44, 41, 22, 37, 35, 9, 49, 16, 48, 41, 47, 24, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 35, 48, 46, 6, 43, 45, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 22, 0, 39, 47, 1, 20, 41, 25, 45, 15, 41, 45, 48, 30, 47, 28, 7, 7, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
3,51,80874.0,0.3607310279912781,"[36, 49, 28, 28, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 22, 37, 35, 9, 49, 16, 48, 41, 47, 24, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 39, 37, 37, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 22, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 7, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
4,76,80874.0,0.5357618450070731,"[36, 49, 28, 28, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 22, 37, 35, 9, 49, 16, 48, 41, 47, 24, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 39, 37, 37, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 22, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 7, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
5,101,80922.0,0.7108120640041307,"[36, 49, 28, 29, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 22, 37, 35, 9, 49, 16, 48, 41, 47, 24, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 39, 37, 37, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 23, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 7, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
6,126,80992.0,0.8861356289999094,"[36, 49, 28, 29, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 22, 37, 35, 9, 49, 16, 48, 41, 47, 24, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 41, 37, 37, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 23, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 7, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
7,151,81545.0,1.0614102330000605,"[30, 49, 28, 29, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 32, 37, 35, 9, 49, 16, 48, 41, 47, 24, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 41, 37, 40, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 23, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 7, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
8,176,81712.0,1.2373162890144158,"[30, 49, 28, 36, 13, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 32, 37, 35, 9, 49, 16, 48, 41, 47, 41, 33, 36, 27, 28, 44, 27, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 41, 37, 37, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 23, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 4, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
9,201,82413.0,1.413898213999346,"[30, 49, 28, 48, 6, 9, 4, 49, 42, 40, 17, 1, 29, 39, 35, 40, 48, 25, 45, 45, 41, 32, 37, 35, 9, 49, 16, 48, 41, 47, 41, 33, 36, 27, 39, 44, 37, 28, 15, 23, 47, 16, 31, 14, 8, 47, 48, 41, 37, 40, 38, 44, 38, 41, 26, 42, 49, 44, 7, 47, 4, 16, 35, 40, 38, 26, 39, 44, 39, 37, 0, 44, 24, 0, 39, 47, 1, 20, 41, 25, 45, 15, 49, 43, 48, 30, 47, 28, 7, 4, 13, 47, 25, 19, 19, 12, 48, 47, 47, 44]",75,0.05,976
