,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,86784.0,0.003946153001379571,"[18, 24, 17, 9, 11, 17, 36, 30, 45, 37, 33, 29, 9, 40, 1, 0, 10, 19, 30, 21, 42, 8, 14, 0, 13, 1, 12, 17, 33, 35, 8, 7, 30, 35, 40, 16, 27, 29, 19, 9, 34, 23, 33, 35, 0, 5, 7, 23, 41, 11, 47, 21, 44, 4, 8, 16, 5, 30, 45, 20, 19, 49, 0, 3, 8, 22, 31, 4, 42, 2, 36, 28, 15, 30, 4, 3, 24, 49, 10, 34, 34, 15, 26, 3, 30, 30, 10, 41, 2, 1, 15, 38, 39, 17, 21, 5, 20, 20, 40, 24, 33, 46, 22, 40, 11, 34, 2, 45, 43, 38, 34, 36, 49, 31, 2, 13, 17, 19, 17, 25, 20, 26, 45, 4, 6, 42, 21, 15, 16, 44, 18, 28, 10, 36, 20, 14, 17, 30, 33, 2, 37, 23, 7, 42, 41, 9, 39, 30, 47, 3]",True,100,0.5,146
1,1,113222.0,6.36552309200124,"[24.0, 4.0, 46.0, 12.0, 47.0, 7.0, 40.0, 41.0, 9.0, 37.0, 49.0, 18.0, 44.0, 49.0, 39.0, 40.0, 35.0, 33.0, 46.0, 25.0, 8.0, 48.0, 28.0, 41.0, 47.0, 30.0, 8.0, 23.0, 48.0, 27.0, 17.0, 18.0, 43.0, 28.0, 49.0, 45.0, 27.0, 9.0, 47.0, 32.0, 29.0, 31.0, 13.0, 16.0, 34.0, 32.0, 32.0, 11.0, 24.0, 34.0, 44.0, 32.0, 47.0, 4.0, 24.0, 41.0, 48.0, 32.0, 3.0, 22.0, 47.0, 31.0, 48.0, 32.0, 19.0, 40.0, 29.0, 43.0, 16.0, 17.0, 49.0, 41.0, 37.0, 19.0, 25.0, 23.0, 33.0, 42.0, 10.0, 19.0, 41.0, 32.0, 48.0, 19.0, 8.0, 30.0, 15.0, 4.0, 9.0, 4.0, 45.0, 46.0, 25.0, 0.0, 14.0, 22.0, 13.0, 35.0, 23.0, 7.0, 31.0, 5.0, 13.0, 49.0, 45.0, 22.0, 12.0, 25.0, 43.0, 22.0, 48.0, 20.0, 32.0, 1.0, 45.0, 45.0, 43.0, 48.0, 20.0, 29.0, 18.0, 5.0, 7.0, 34.0, 32.0, 42.0, 31.0, 22.0, 34.0, 3.0, 18.0, 37.0, 7.0, 11.0, 16.0, 0.0, 48.0, 31.0, 49.0, 45.0, 21.0, 3.0, 20.0, 43.0, 39.0, 39.0, 14.0, 25.0, 19.0, 41.0]",True,100,0.5,146
2,6,114986.0,36.488362331001554,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
3,11,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
4,16,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
5,21,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
6,26,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
7,31,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
8,36,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
9,41,114986.0,42.36237909600095,"[34.0, 16.0, 31.0, 46.0, 15.0, 17.0, 8.0, 23.0, 49.0, 43.0, 16.0, 39.0, 23.0, 47.0, 13.0, 12.0, 39.0, 42.0, 33.0, 45.0, 35.0, 31.0, 43.0, 45.0, 12.0, 39.0, 25.0, 2.0, 9.0, 13.0, 46.0, 20.0, 12.0, 11.0, 26.0, 47.0, 17.0, 46.0, 13.0, 44.0, 41.0, 30.0, 30.0, 5.0, 38.0, 4.0, 30.0, 15.0, 46.0, 4.0, 16.0, 25.0, 6.0, 45.0, 11.0, 47.0, 33.0, 25.0, 23.0, 14.0, 42.0, 44.0, 5.0, 37.0, 35.0, 32.0, 40.0, 21.0, 22.0, 18.0, 24.0, 46.0, 26.0, 14.0, 36.0, 45.0, 49.0, 27.0, 28.0, 43.0, 35.0, 26.0, 31.0, 4.0, 45.0, 12.0, 34.0, 34.0, 19.0, 22.0, 34.0, 27.0, 21.0, 46.0, 6.0, 14.0, 20.0, 48.0, 25.0, 11.0, 48.0, 31.0, 32.0, 37.0, 18.0, 47.0, 25.0, 18.0, 39.0, 7.0, 4.0, 40.0, 36.0, 40.0, 44.0, 39.0, 8.0, 45.0, 22.0, 43.0, 2.0, 19.0, 25.0, 20.0, 9.0, 47.0, 44.0, 30.0, 37.0, 48.0, 26.0, 49.0, 48.0, 8.0, 4.0, 34.0, 28.0, 42.0, 16.0, 28.0, 34.0, 41.0, 38.0, 4.0, 9.0, 16.0, 4.0, 48.0, 27.0, 15.0]",True,100,0.5,146
