,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.003907708000042476,113459.0,True,100,0.5,146
1,1,6.404417727000691,114570.0,True,100,0.5,146
2,2,12.62239615100043,114834.0,True,100,0.5,146
3,3,18.501562436000313,116737.0,True,100,0.5,146
4,4,24.457648917999904,117151.0,True,100,0.5,146
5,5,30.151611885999955,117151.0,True,100,0.5,146
6,6,36.00876697500098,118196.0,True,100,0.5,146
7,7,41.69764876500085,120140.0,True,100,0.5,146
8,8,47.54343635600162,120705.0,True,100,0.5,146
9,9,53.15096497700142,120705.0,True,100,0.5,146
10,10,58.777845206001075,120921.0,True,100,0.5,146
11,11,64.42689475100087,121132.0,True,100,0.5,146
12,12,70.02522143200076,121252.0,True,100,0.5,146
13,13,75.676324510001,121252.0,True,100,0.5,146
14,14,81.30299449999984,121252.0,True,100,0.5,146
15,15,86.99924919700061,121252.0,True,100,0.5,146
16,16,92.57874711100158,121252.0,True,100,0.5,146
17,17,98.3317226600011,121252.0,True,100,0.5,146
