,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.030796908016782254,16.0,True,250,0.5,146
1,1,0.17777857100008987,16.0,True,250,0.5,146
2,2,0.3322966690175235,23.0,True,250,0.5,146
3,3,0.47129350801697,23.0,True,250,0.5,146
4,4,0.6235109310073312,23.0,True,250,0.5,146
5,5,0.7561322110123001,23.0,True,250,0.5,146
6,6,0.8925725930021144,23.0,True,250,0.5,146
7,7,1.0400994300143793,23.0,True,250,0.5,146
8,8,1.183282395999413,23.0,True,250,0.5,146
9,9,1.3261568710149731,23.0,True,250,0.5,146
10,10,1.4597164480073843,23.0,True,250,0.5,146
11,11,1.6107902550138533,23.0,True,250,0.5,146
12,12,1.7665337420185097,23.0,True,250,0.5,146
13,13,1.9050356750085484,23.0,True,250,0.5,146
14,14,2.0506622460088693,168.0,True,250,0.5,146
15,15,2.1884984070202336,168.0,True,250,0.5,146
16,16,2.3232262390083633,168.0,True,250,0.5,146
17,17,2.472822313022334,170.0,True,250,0.5,146
18,18,2.613984060008079,170.0,True,250,0.5,146
19,19,2.744474850012921,170.0,True,250,0.5,146
20,20,2.885313156002667,173.0,True,250,0.5,146
21,21,3.025541007024003,173.0,True,250,0.5,146
22,22,3.163480139017338,173.0,True,250,0.5,146
23,23,3.3252090680180117,173.0,True,250,0.5,146
24,24,3.468216856010258,176.0,True,250,0.5,146
25,25,3.606583656015573,180.0,True,250,0.5,146
26,26,3.7396331490017474,180.0,True,250,0.5,146
27,27,3.882310351007618,180.0,True,250,0.5,146
28,28,4.01917884600698,181.0,True,250,0.5,146
29,29,4.177016090019606,182.0,True,250,0.5,146
30,30,4.321012451022398,182.0,True,250,0.5,146
31,31,4.470581776025938,182.0,True,250,0.5,146
32,32,4.614051551005105,182.0,True,250,0.5,146
33,33,4.757347265025601,182.0,True,250,0.5,146
34,34,4.891452964016935,182.0,True,250,0.5,146
35,35,5.0679718690225855,182.0,True,250,0.5,146
36,36,5.242648931016447,182.0,True,250,0.5,146
37,37,5.429229034023592,182.0,True,250,0.5,146
38,38,5.6094876429997385,182.0,True,250,0.5,146
39,39,5.74322453601053,185.0,True,250,0.5,146
40,40,5.880223451007623,185.0,True,250,0.5,146
41,41,6.063979549013311,185.0,True,250,0.5,146
42,42,6.255305588012561,185.0,True,250,0.5,146
43,43,6.437914397014538,185.0,True,250,0.5,146
44,44,6.620272513013333,185.0,True,250,0.5,146
45,45,6.804995679005515,185.0,True,250,0.5,146
46,46,6.986452804005239,185.0,True,250,0.5,146
47,47,7.173341527028242,186.0,True,250,0.5,146
48,48,7.35770154200145,186.0,True,250,0.5,146
49,49,7.541409097000724,186.0,True,250,0.5,146
50,50,7.726310676021967,186.0,True,250,0.5,146
51,51,7.909408606006764,186.0,True,250,0.5,146
52,52,8.100302835024195,186.0,True,250,0.5,146
53,53,8.283681758999592,186.0,True,250,0.5,146
54,54,8.466185329016298,186.0,True,250,0.5,146
55,55,8.650375804019859,186.0,True,250,0.5,146
56,56,8.833863749023294,186.0,True,250,0.5,146
57,57,9.023582257999806,186.0,True,250,0.5,146
58,58,9.206546942004934,186.0,True,250,0.5,146
59,59,9.390014327014796,186.0,True,250,0.5,146
60,60,9.572571811004309,186.0,True,250,0.5,146
61,61,9.754732410016004,186.0,True,250,0.5,146
62,62,9.942533243010985,188.0,True,250,0.5,146
63,63,10.126205121021485,188.0,True,250,0.5,146
64,64,10.309125098021468,188.0,True,250,0.5,146
65,65,10.490494289027993,188.0,True,250,0.5,146
66,66,10.67243193500326,188.0,True,250,0.5,146
67,67,10.806643145013368,188.0,True,250,0.5,146
68,68,10.990699324000161,188.0,True,250,0.5,146
69,69,11.173247331025777,188.0,True,250,0.5,146
70,70,11.357696325023426,188.0,True,250,0.5,146
71,71,11.540755301015452,188.0,True,250,0.5,146
72,72,11.730508206004743,188.0,True,250,0.5,146
73,73,11.913722426019376,188.0,True,250,0.5,146
74,74,12.096846263011685,188.0,True,250,0.5,146
75,75,12.280412777006859,188.0,True,250,0.5,146
76,76,12.463567810016684,188.0,True,250,0.5,146
77,77,12.653337217023363,188.0,True,250,0.5,146
78,78,12.836795637005707,188.0,True,250,0.5,146
79,79,13.019117006013403,188.0,True,250,0.5,146
80,80,13.201905155001441,188.0,True,250,0.5,146
81,81,13.384679640003014,188.0,True,250,0.5,146
82,82,13.573205824010074,188.0,True,250,0.5,146
83,83,13.755900814023335,188.0,True,250,0.5,146
84,84,13.939517227001488,188.0,True,250,0.5,146
85,85,14.122241127013694,188.0,True,250,0.5,146
86,86,14.305264786002226,188.0,True,250,0.5,146
87,87,14.494948212028248,188.0,True,250,0.5,146
88,88,14.67747374100145,188.0,True,250,0.5,146
89,89,14.860752126027364,188.0,True,250,0.5,146
90,90,15.044075770012569,188.0,True,250,0.5,146
91,91,15.22708204202354,188.0,True,250,0.5,146
92,92,15.422457138018217,188.0,True,250,0.5,146
93,93,15.606139889016049,188.0,True,250,0.5,146
94,94,15.789201503008371,188.0,True,250,0.5,146
95,95,15.974108871014323,188.0,True,250,0.5,146
96,96,16.15677962702466,188.0,True,250,0.5,146
97,97,16.345768632018007,188.0,True,250,0.5,146
98,98,16.528945782018127,188.0,True,250,0.5,146
99,99,16.712684515019646,188.0,True,250,0.5,146
100,100,16.897677255008603,188.0,True,250,0.5,146
101,101,17.08125204400858,188.0,True,250,0.5,146
102,102,17.27346263002255,188.0,True,250,0.5,146
103,103,17.455614808015525,188.0,True,250,0.5,146
104,104,17.63515503401868,188.0,True,250,0.5,146
105,105,17.81547308701556,188.0,True,250,0.5,146
106,106,17.994418968009995,188.0,True,250,0.5,146
107,107,18.18010968901217,188.0,True,250,0.5,146
108,108,18.361193495016778,188.0,True,250,0.5,146
109,109,18.542720673023723,188.0,True,250,0.5,146
110,110,18.72332272201311,188.0,True,250,0.5,146
111,111,18.90262889000587,188.0,True,250,0.5,146
112,112,19.087696545000654,188.0,True,250,0.5,146
