,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,58429.0,0.018809245026204735,"[9, 15, 4, 48, 48, 35, 34, 49, 10, 8, 46, 44, 41, 48, 46, 36, 38, 20, 20, 12, 41, 5, 38, 37, 18, 6, 44, 34, 48, 5, 16, 35, 48, 27, 33, 12, 48, 18, 15, 6, 20, 26, 28, 9, 16, 45, 0, 5, 5, 43, 35, 4, 12, 30, 30, 12, 38, 25, 32, 26, 32, 48, 25, 15, 2, 7, 33, 8, 39, 30, 24, 25, 43, 0, 25, 28, 14, 47, 39, 5, 43, 18, 39, 32, 4, 34, 32, 49, 16, 35, 1, 1, 27, 33, 32, 31, 2, 22, 10, 29]",True,250,0.5,146
1,1,70632.0,5.437899879005272,"[33.0, 8.0, 41.0, 30.0, 41.0, 49.0, 7.0, 46.0, 9.0, 34.0, 11.0, 4.0, 34.0, 49.0, 42.0, 41.0, 9.0, 47.0, 12.0, 40.0, 18.0, 41.0, 37.0, 43.0, 47.0, 16.0, 49.0, 18.0, 10.0, 45.0, 25.0, 13.0, 0.0, 25.0, 44.0, 38.0, 3.0, 0.0, 45.0, 14.0, 30.0, 45.0, 10.0, 32.0, 29.0, 48.0, 38.0, 18.0, 36.0, 20.0, 45.0, 33.0, 1.0, 24.0, 11.0, 15.0, 40.0, 40.0, 22.0, 31.0, 31.0, 48.0, 37.0, 47.0, 47.0, 18.0, 7.0, 49.0, 30.0, 33.0, 5.0, 23.0, 45.0, 31.0, 49.0, 24.0, 17.0, 46.0, 11.0, 5.0, 10.0, 2.0, 37.0, 6.0, 17.0, 12.0, 21.0, 35.0, 37.0, 9.0, 24.0, 16.0, 32.0, 17.0, 28.0, 28.0, 13.0, 29.0, 43.0, 32.0]",True,250,0.5,146
2,6,77610.0,30.71049866901012,"[6.0, 34.0, 37.0, 39.0, 38.0, 47.0, 9.0, 6.0, 44.0, 21.0, 33.0, 47.0, 42.0, 10.0, 48.0, 40.0, 19.0, 42.0, 39.0, 47.0, 24.0, 31.0, 19.0, 32.0, 10.0, 21.0, 27.0, 30.0, 31.0, 6.0, 34.0, 37.0, 7.0, 44.0, 10.0, 42.0, 44.0, 39.0, 41.0, 31.0, 49.0, 13.0, 28.0, 21.0, 29.0, 46.0, 3.0, 17.0, 21.0, 28.0, 21.0, 29.0, 27.0, 46.0, 21.0, 38.0, 35.0, 38.0, 36.0, 17.0, 43.0, 28.0, 48.0, 49.0, 36.0, 35.0, 13.0, 49.0, 45.0, 39.0, 39.0, 45.0, 45.0, 29.0, 39.0, 39.0, 37.0, 29.0, 46.0, 45.0, 34.0, 29.0, 47.0, 39.0, 19.0, 49.0, 40.0, 46.0, 7.0, 32.0, 33.0, 3.0, 21.0, 12.0, 43.0, 24.0, 32.0, 36.0, 30.0, 22.0]",True,250,0.5,146
3,11,80171.0,54.87728705001064,"[0.0, 27.0, 33.0, 7.0, 44.0, 45.0, 7.0, 18.0, 46.0, 45.0, 11.0, 4.0, 6.0, 25.0, 28.0, 40.0, 26.0, 47.0, 45.0, 33.0, 26.0, 44.0, 9.0, 23.0, 8.0, 22.0, 48.0, 29.0, 27.0, 23.0, 32.0, 37.0, 0.0, 25.0, 16.0, 25.0, 41.0, 39.0, 45.0, 23.0, 33.0, 36.0, 33.0, 32.0, 41.0, 40.0, 36.0, 44.0, 26.0, 20.0, 32.0, 30.0, 36.0, 34.0, 19.0, 11.0, 41.0, 47.0, 37.0, 18.0, 30.0, 46.0, 36.0, 37.0, 30.0, 49.0, 2.0, 46.0, 30.0, 48.0, 36.0, 18.0, 30.0, 34.0, 47.0, 48.0, 46.0, 23.0, 42.0, 46.0, 43.0, 43.0, 23.0, 35.0, 25.0, 45.0, 40.0, 34.0, 14.0, 18.0, 49.0, 36.0, 25.0, 36.0, 47.0, 25.0, 2.0, 37.0, 43.0, 43.0]",True,250,0.5,146
4,16,81318.0,78.64679464302026,"[17.0, 44.0, 27.0, 30.0, 39.0, 38.0, 26.0, 43.0, 45.0, 22.0, 47.0, 13.0, 20.0, 49.0, 6.0, 41.0, 39.0, 22.0, 48.0, 35.0, 18.0, 41.0, 3.0, 43.0, 14.0, 28.0, 20.0, 16.0, 12.0, 41.0, 34.0, 37.0, 2.0, 0.0, 16.0, 42.0, 42.0, 39.0, 7.0, 42.0, 12.0, 32.0, 36.0, 2.0, 29.0, 17.0, 44.0, 1.0, 35.0, 47.0, 45.0, 33.0, 24.0, 46.0, 11.0, 0.0, 49.0, 47.0, 31.0, 34.0, 28.0, 43.0, 45.0, 47.0, 41.0, 47.0, 0.0, 49.0, 44.0, 7.0, 40.0, 45.0, 48.0, 31.0, 49.0, 24.0, 46.0, 27.0, 49.0, 40.0, 34.0, 3.0, 37.0, 30.0, 21.0, 49.0, 45.0, 30.0, 6.0, 44.0, 2.0, 48.0, 48.0, 45.0, 28.0, 14.0, 20.0, 49.0, 18.0, 32.0]",True,250,0.5,146
5,21,82213.0,102.36493373001576,"[0.0, 27.0, 33.0, 7.0, 33.0, 27.0, 7.0, 18.0, 46.0, 45.0, 11.0, 4.0, 6.0, 25.0, 28.0, 40.0, 39.0, 47.0, 45.0, 33.0, 26.0, 44.0, 9.0, 23.0, 8.0, 26.0, 48.0, 29.0, 37.0, 23.0, 32.0, 47.0, 0.0, 25.0, 48.0, 25.0, 41.0, 39.0, 47.0, 32.0, 33.0, 15.0, 33.0, 11.0, 41.0, 40.0, 36.0, 44.0, 28.0, 20.0, 32.0, 31.0, 36.0, 34.0, 19.0, 8.0, 41.0, 47.0, 37.0, 18.0, 30.0, 46.0, 36.0, 37.0, 30.0, 49.0, 0.0, 48.0, 30.0, 48.0, 24.0, 18.0, 30.0, 34.0, 47.0, 48.0, 46.0, 23.0, 42.0, 46.0, 21.0, 35.0, 23.0, 35.0, 25.0, 45.0, 40.0, 34.0, 14.0, 18.0, 49.0, 43.0, 41.0, 36.0, 47.0, 45.0, 2.0, 37.0, 43.0, 43.0]",True,250,0.5,146
6,26,82527.0,126.00917915001628,"[0.0, 27.0, 33.0, 7.0, 33.0, 27.0, 18.0, 18.0, 46.0, 45.0, 11.0, 4.0, 6.0, 25.0, 28.0, 40.0, 39.0, 47.0, 45.0, 33.0, 26.0, 44.0, 9.0, 23.0, 8.0, 22.0, 48.0, 29.0, 37.0, 23.0, 32.0, 47.0, 0.0, 25.0, 48.0, 25.0, 41.0, 39.0, 47.0, 23.0, 48.0, 15.0, 33.0, 11.0, 41.0, 40.0, 36.0, 44.0, 36.0, 20.0, 32.0, 31.0, 36.0, 34.0, 19.0, 8.0, 41.0, 47.0, 49.0, 8.0, 30.0, 46.0, 36.0, 37.0, 30.0, 49.0, 2.0, 47.0, 30.0, 48.0, 24.0, 18.0, 30.0, 34.0, 47.0, 48.0, 46.0, 23.0, 42.0, 46.0, 26.0, 35.0, 23.0, 35.0, 25.0, 45.0, 40.0, 34.0, 14.0, 18.0, 49.0, 43.0, 42.0, 36.0, 47.0, 45.0, 2.0, 37.0, 43.0, 43.0]",True,250,0.5,146
7,31,82627.0,150.72749542901875,"[0.0, 27.0, 33.0, 7.0, 33.0, 27.0, 18.0, 18.0, 46.0, 45.0, 11.0, 4.0, 6.0, 25.0, 28.0, 40.0, 39.0, 47.0, 45.0, 33.0, 26.0, 44.0, 9.0, 23.0, 8.0, 22.0, 48.0, 29.0, 37.0, 23.0, 32.0, 47.0, 0.0, 25.0, 48.0, 25.0, 41.0, 39.0, 47.0, 23.0, 48.0, 15.0, 33.0, 11.0, 41.0, 40.0, 36.0, 44.0, 36.0, 20.0, 32.0, 31.0, 36.0, 34.0, 19.0, 8.0, 41.0, 47.0, 49.0, 8.0, 30.0, 46.0, 36.0, 37.0, 30.0, 49.0, 2.0, 49.0, 30.0, 48.0, 24.0, 18.0, 30.0, 34.0, 47.0, 48.0, 46.0, 23.0, 42.0, 46.0, 26.0, 35.0, 23.0, 35.0, 25.0, 45.0, 40.0, 34.0, 14.0, 18.0, 49.0, 43.0, 42.0, 36.0, 47.0, 45.0, 2.0, 37.0, 43.0, 43.0]",True,250,0.5,146
8,36,82627.0,155.71265685200342,"[0.0, 27.0, 33.0, 7.0, 33.0, 27.0, 18.0, 18.0, 46.0, 45.0, 11.0, 4.0, 6.0, 25.0, 28.0, 40.0, 39.0, 47.0, 45.0, 33.0, 26.0, 44.0, 9.0, 23.0, 8.0, 22.0, 48.0, 29.0, 37.0, 23.0, 32.0, 47.0, 0.0, 25.0, 48.0, 25.0, 41.0, 39.0, 47.0, 23.0, 48.0, 15.0, 33.0, 11.0, 41.0, 40.0, 36.0, 44.0, 36.0, 20.0, 32.0, 31.0, 36.0, 34.0, 19.0, 8.0, 41.0, 47.0, 49.0, 8.0, 30.0, 46.0, 36.0, 37.0, 30.0, 49.0, 2.0, 49.0, 30.0, 48.0, 24.0, 18.0, 30.0, 34.0, 47.0, 48.0, 46.0, 23.0, 42.0, 46.0, 26.0, 35.0, 23.0, 35.0, 25.0, 45.0, 40.0, 34.0, 14.0, 18.0, 49.0, 43.0, 42.0, 36.0, 47.0, 45.0, 2.0, 37.0, 43.0, 43.0]",True,250,0.5,146
9,41,82627.0,155.71265685200342,"[0.0, 27.0, 33.0, 7.0, 33.0, 27.0, 18.0, 18.0, 46.0, 45.0, 11.0, 4.0, 6.0, 25.0, 28.0, 40.0, 39.0, 47.0, 45.0, 33.0, 26.0, 44.0, 9.0, 23.0, 8.0, 22.0, 48.0, 29.0, 37.0, 23.0, 32.0, 47.0, 0.0, 25.0, 48.0, 25.0, 41.0, 39.0, 47.0, 23.0, 48.0, 15.0, 33.0, 11.0, 41.0, 40.0, 36.0, 44.0, 36.0, 20.0, 32.0, 31.0, 36.0, 34.0, 19.0, 8.0, 41.0, 47.0, 49.0, 8.0, 30.0, 46.0, 36.0, 37.0, 30.0, 49.0, 2.0, 49.0, 30.0, 48.0, 24.0, 18.0, 30.0, 34.0, 47.0, 48.0, 46.0, 23.0, 42.0, 46.0, 26.0, 35.0, 23.0, 35.0, 25.0, 45.0, 40.0, 34.0, 14.0, 18.0, 49.0, 43.0, 42.0, 36.0, 47.0, 45.0, 2.0, 37.0, 43.0, 43.0]",True,250,0.5,146
