,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.008896282990463078,70493.0,True,250,0.5,146
1,1,5.418288479006151,72950.0,True,250,0.5,146
2,2,10.602522286004387,74606.0,True,250,0.5,146
3,3,15.781005016004201,74606.0,True,250,0.5,146
4,4,20.804385758005083,75445.0,True,250,0.5,146
5,5,25.707653510995442,78023.0,True,250,0.5,146
6,6,30.561199346993817,78023.0,True,250,0.5,146
7,7,35.39427089301171,78561.0,True,250,0.5,146
8,8,40.35023510598694,78900.0,True,250,0.5,146
9,9,45.07201359298779,79187.0,True,250,0.5,146
10,10,49.791497558995616,80989.0,True,250,0.5,146
11,11,54.60554441300337,81406.0,True,250,0.5,146
12,12,59.47982556998613,81542.0,True,250,0.5,146
13,13,64.13760955099133,82434.0,True,250,0.5,146
14,14,68.79691212400212,82816.0,True,250,0.5,146
15,15,73.54062152298866,82954.0,True,250,0.5,146
16,16,78.3523973620031,83418.0,True,250,0.5,146
17,17,83.13324785899022,83418.0,True,250,0.5,146
18,18,87.8229457999987,83476.0,True,250,0.5,146
19,19,92.65984478101018,83476.0,True,250,0.5,146
20,20,97.40898419800214,83527.0,True,250,0.5,146
21,21,102.02605468200636,83527.0,True,250,0.5,146
22,22,106.71566519499174,83527.0,True,250,0.5,146
23,23,111.34577567799715,83527.0,True,250,0.5,146
24,24,116.26707497998723,83527.0,True,250,0.5,146
25,25,121.19912588098668,83591.0,True,250,0.5,146
26,26,125.94624130200827,83591.0,True,250,0.5,146
27,27,132.1935795180034,83591.0,True,250,0.5,146
28,28,136.9922015540069,83591.0,True,250,0.5,146
29,29,145.78142222500173,83591.0,True,250,0.5,146
30,30,154.2998641380109,83591.0,True,250,0.5,146
