,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,53781.0,0.003687823000291246,"[20, 13, 15, 26, 21, 10, 13, 16, 39, 13, 29, 27, 11, 38, 47, 31, 26, 10, 32, 18, 18, 2, 6, 32, 12, 40, 9, 44, 28, 12, 34, 7, 35, 0, 42, 14, 23, 42, 32, 6, 19, 16, 32, 42, 7, 30, 30, 17, 22, 34, 46, 42, 36, 28, 1, 6, 37, 11, 27, 41, 10, 30, 22, 36, 10, 31, 6, 10, 36, 12, 11, 20, 24, 23, 42, 14, 3, 15, 24, 13, 24, 48, 7, 45, 30, 12, 16, 1, 29, 21, 20, 28, 2, 38, 38, 28, 34, 43, 3, 2]",True,100,0.5,49
1,1,71347.0,2.8741192929992394,"[33.0, 34.0, 29.0, 48.0, 47.0, 25.0, 38.0, 21.0, 44.0, 34.0, 24.0, 30.0, 23.0, 31.0, 33.0, 35.0, 29.0, 29.0, 47.0, 18.0, 17.0, 16.0, 45.0, 29.0, 17.0, 25.0, 7.0, 22.0, 36.0, 24.0, 47.0, 37.0, 44.0, 6.0, 10.0, 39.0, 36.0, 48.0, 43.0, 0.0, 47.0, 41.0, 29.0, 39.0, 35.0, 27.0, 22.0, 0.0, 0.0, 20.0, 40.0, 17.0, 0.0, 46.0, 34.0, 5.0, 25.0, 46.0, 26.0, 26.0, 27.0, 41.0, 1.0, 33.0, 25.0, 39.0, 40.0, 45.0, 39.0, 6.0, 31.0, 0.0, 42.0, 4.0, 20.0, 34.0, 38.0, 18.0, 42.0, 23.0, 22.0, 35.0, 44.0, 41.0, 44.0, 39.0, 36.0, 48.0, 11.0, 20.0, 7.0, 38.0, 28.0, 37.0, 14.0, 31.0, 44.0, 48.0, 48.0, 40.0]",True,100,0.5,49
2,2,71347.0,5.57908582500022,"[33.0, 34.0, 29.0, 48.0, 47.0, 25.0, 38.0, 21.0, 44.0, 34.0, 24.0, 30.0, 23.0, 31.0, 33.0, 35.0, 29.0, 29.0, 47.0, 18.0, 17.0, 16.0, 45.0, 29.0, 17.0, 25.0, 7.0, 22.0, 36.0, 24.0, 47.0, 37.0, 44.0, 6.0, 10.0, 39.0, 36.0, 48.0, 43.0, 0.0, 47.0, 41.0, 29.0, 39.0, 35.0, 27.0, 22.0, 0.0, 0.0, 20.0, 40.0, 17.0, 0.0, 46.0, 34.0, 5.0, 25.0, 46.0, 26.0, 26.0, 27.0, 41.0, 1.0, 33.0, 25.0, 39.0, 40.0, 45.0, 39.0, 6.0, 31.0, 0.0, 42.0, 4.0, 20.0, 34.0, 38.0, 18.0, 42.0, 23.0, 22.0, 35.0, 44.0, 41.0, 44.0, 39.0, 36.0, 48.0, 11.0, 20.0, 7.0, 38.0, 28.0, 37.0, 14.0, 31.0, 44.0, 48.0, 48.0, 40.0]",True,100,0.5,49
3,3,72095.0,8.217415912999058,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 38.0, 44.0, 13.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 20.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 18.0, 28.0, 38.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 27.0, 37.0, 11.0, 26.0, 24.0, 36.0, 11.0, 41.0, 49.0, 6.0, 34.0, 35.0, 45.0, 46.0, 7.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
4,4,72581.0,10.788660657999571,"[0.0, 11.0, 38.0, 46.0, 30.0, 39.0, 24.0, 37.0, 46.0, 24.0, 30.0, 37.0, 41.0, 25.0, 9.0, 17.0, 43.0, 29.0, 20.0, 49.0, 12.0, 24.0, 31.0, 47.0, 46.0, 46.0, 3.0, 8.0, 49.0, 46.0, 14.0, 31.0, 33.0, 37.0, 19.0, 18.0, 45.0, 8.0, 49.0, 6.0, 28.0, 20.0, 47.0, 45.0, 45.0, 34.0, 38.0, 42.0, 29.0, 1.0, 24.0, 35.0, 49.0, 38.0, 17.0, 8.0, 19.0, 34.0, 18.0, 22.0, 33.0, 42.0, 36.0, 32.0, 8.0, 45.0, 47.0, 37.0, 48.0, 36.0, 5.0, 38.0, 9.0, 13.0, 30.0, 7.0, 13.0, 37.0, 28.0, 30.0, 23.0, 48.0, 6.0, 43.0, 36.0, 45.0, 39.0, 49.0, 49.0, 42.0, 4.0, 40.0, 48.0, 19.0, 16.0, 4.0, 7.0, 40.0, 30.0, 26.0]",True,100,0.5,49
5,5,73244.0,13.297656970999014,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 22.0, 12.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 0.0, 41.0, 49.0, 19.0, 16.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 18.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 34.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 45.0, 5.0, 27.0, 37.0, 29.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 7.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
6,6,74183.0,15.81205912599944,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 25.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 18.0, 28.0, 38.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 27.0, 37.0, 29.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
7,7,74200.0,18.339883451999413,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 22.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 0.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 38.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 7.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
8,8,74570.0,20.831803806999233,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 22.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 18.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 27.0, 37.0, 29.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
9,9,74570.0,23.27086309599872,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 22.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 18.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 27.0, 37.0, 29.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
10,10,74761.0,25.802719626999533,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
11,11,74761.0,28.303729835999548,"[49.0, 37.0, 16.0, 12.0, 47.0, 24.0, 41.0, 23.0, 6.0, 27.0, 47.0, 37.0, 1.0, 25.0, 27.0, 41.0, 12.0, 30.0, 44.0, 43.0, 37.0, 46.0, 45.0, 18.0, 12.0, 41.0, 49.0, 19.0, 40.0, 13.0, 17.0, 40.0, 12.0, 19.0, 48.0, 39.0, 45.0, 42.0, 31.0, 1.0, 27.0, 4.0, 14.0, 1.0, 48.0, 46.0, 29.0, 42.0, 14.0, 47.0, 25.0, 47.0, 22.0, 28.0, 25.0, 21.0, 48.0, 30.0, 24.0, 28.0, 36.0, 36.0, 29.0, 18.0, 0.0, 49.0, 14.0, 30.0, 19.0, 40.0, 1.0, 3.0, 32.0, 39.0, 27.0, 37.0, 18.0, 32.0, 45.0, 36.0, 5.0, 36.0, 37.0, 11.0, 34.0, 24.0, 36.0, 11.0, 41.0, 25.0, 6.0, 34.0, 35.0, 43.0, 46.0, 31.0, 44.0, 47.0, 43.0, 39.0]",True,100,0.5,49
