,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.003770481000174186,71625.0,True,100,0.5,146
1,1,2.785617944000478,71625.0,True,100,0.5,146
2,2,5.557450501000858,71629.0,True,100,0.5,146
3,3,8.143181888000981,72936.0,True,100,0.5,146
4,4,10.693838657000015,73524.0,True,100,0.5,146
5,5,13.23511710800085,73642.0,True,100,0.5,146
6,6,15.783596786000999,73806.0,True,100,0.5,146
7,7,18.259664340999734,74164.0,True,100,0.5,146
8,8,20.752747548000116,74899.0,True,100,0.5,146
9,9,23.20539492700118,74899.0,True,100,0.5,146
10,10,25.654544644999987,75042.0,True,100,0.5,146
11,11,28.10946895699999,75137.0,True,100,0.5,146
12,12,30.58561625100083,75232.0,True,100,0.5,146
13,13,33.0486867540003,75232.0,True,100,0.5,146
14,14,35.48253933600063,75232.0,True,100,0.5,146
15,15,38.07438524600002,75232.0,True,100,0.5,146
16,16,40.56146319400068,75232.0,True,100,0.5,146
17,17,43.07728165200024,75232.0,True,100,0.5,146
