,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,54534.0,0.003810854999755975,"[40, 15, 45, 8, 22, 43, 18, 11, 40, 7, 34, 49, 31, 11, 21, 47, 31, 26, 20, 37, 39, 3, 38, 4, 42, 43, 39, 38, 42, 33, 3, 5, 24, 4, 46, 6, 31, 19, 31, 2, 16, 46, 12, 4, 26, 15, 49, 39, 46, 8, 45, 15, 41, 45, 8, 17, 22, 9, 41, 46, 26, 19, 32, 43, 32, 26, 8, 12, 10, 40, 34, 9, 37, 6, 22, 6, 19, 18, 1, 4, 40, 17, 6, 37, 33, 18, 20, 26, 23, 22, 43, 37, 10, 8, 26, 35, 27, 32, 16, 21]",True,100,0.5,146
1,1,69672.0,2.810567139000341,"[13.0, 48.0, 1.0, 39.0, 30.0, 16.0, 32.0, 48.0, 17.0, 1.0, 0.0, 21.0, 12.0, 5.0, 4.0, 36.0, 18.0, 39.0, 38.0, 42.0, 44.0, 27.0, 32.0, 36.0, 20.0, 21.0, 39.0, 19.0, 23.0, 37.0, 42.0, 15.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 12.0, 0.0, 33.0, 48.0, 26.0, 17.0, 12.0, 34.0, 9.0, 11.0, 48.0, 18.0, 43.0, 45.0, 44.0, 7.0, 6.0, 48.0, 16.0, 45.0, 41.0, 0.0, 42.0, 47.0, 14.0, 46.0, 20.0, 30.0, 48.0, 41.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 19.0, 26.0, 48.0, 37.0, 45.0, 49.0, 0.0, 28.0, 2.0, 47.0, 4.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 43.0, 39.0, 39.0, 18.0, 5.0]",True,100,0.5,146
2,6,75505.0,15.55326978499943,"[46.0, 40.0, 1.0, 39.0, 30.0, 46.0, 32.0, 48.0, 42.0, 1.0, 40.0, 33.0, 25.0, 19.0, 4.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 17.0, 31.0, 19.0, 23.0, 21.0, 42.0, 49.0, 38.0, 28.0, 33.0, 28.0, 16.0, 10.0, 4.0, 49.0, 0.0, 31.0, 48.0, 26.0, 22.0, 43.0, 34.0, 9.0, 11.0, 48.0, 39.0, 43.0, 45.0, 17.0, 7.0, 6.0, 48.0, 16.0, 45.0, 23.0, 20.0, 42.0, 47.0, 14.0, 46.0, 20.0, 38.0, 48.0, 41.0, 20.0, 0.0, 23.0, 11.0, 15.0, 48.0, 19.0, 26.0, 39.0, 26.0, 48.0, 37.0, 45.0, 49.0, 0.0, 28.0, 27.0, 47.0, 4.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
3,11,77113.0,27.739545569000256,"[46.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 1.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 23.0, 21.0, 42.0, 49.0, 38.0, 28.0, 33.0, 28.0, 16.0, 33.0, 16.0, 49.0, 35.0, 33.0, 48.0, 26.0, 22.0, 43.0, 34.0, 9.0, 11.0, 48.0, 39.0, 43.0, 45.0, 17.0, 7.0, 6.0, 48.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 30.0, 48.0, 41.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 26.0, 48.0, 36.0, 45.0, 49.0, 0.0, 28.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
4,16,77896.0,39.918356665999454,"[13.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 38.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 38.0, 21.0, 42.0, 49.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 49.0, 35.0, 31.0, 48.0, 8.0, 22.0, 43.0, 34.0, 9.0, 32.0, 48.0, 39.0, 43.0, 45.0, 44.0, 7.0, 6.0, 20.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 38.0, 48.0, 31.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 41.0, 48.0, 36.0, 45.0, 49.0, 47.0, 24.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
5,21,77896.0,52.249596190000375,"[13.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 38.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 38.0, 21.0, 42.0, 49.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 49.0, 35.0, 31.0, 48.0, 8.0, 22.0, 43.0, 34.0, 9.0, 32.0, 48.0, 39.0, 43.0, 45.0, 44.0, 7.0, 6.0, 20.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 38.0, 48.0, 31.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 41.0, 48.0, 36.0, 45.0, 49.0, 47.0, 24.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
6,26,77896.0,52.249596190000375,"[13.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 38.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 38.0, 21.0, 42.0, 49.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 49.0, 35.0, 31.0, 48.0, 8.0, 22.0, 43.0, 34.0, 9.0, 32.0, 48.0, 39.0, 43.0, 45.0, 44.0, 7.0, 6.0, 20.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 38.0, 48.0, 31.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 41.0, 48.0, 36.0, 45.0, 49.0, 47.0, 24.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
7,31,77896.0,52.249596190000375,"[13.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 38.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 38.0, 21.0, 42.0, 49.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 49.0, 35.0, 31.0, 48.0, 8.0, 22.0, 43.0, 34.0, 9.0, 32.0, 48.0, 39.0, 43.0, 45.0, 44.0, 7.0, 6.0, 20.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 38.0, 48.0, 31.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 41.0, 48.0, 36.0, 45.0, 49.0, 47.0, 24.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
8,36,77896.0,52.249596190000375,"[13.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 38.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 38.0, 21.0, 42.0, 49.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 49.0, 35.0, 31.0, 48.0, 8.0, 22.0, 43.0, 34.0, 9.0, 32.0, 48.0, 39.0, 43.0, 45.0, 44.0, 7.0, 6.0, 20.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 38.0, 48.0, 31.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 41.0, 48.0, 36.0, 45.0, 49.0, 47.0, 24.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
9,41,77896.0,52.249596190000375,"[13.0, 48.0, 1.0, 39.0, 30.0, 46.0, 13.0, 48.0, 42.0, 38.0, 0.0, 33.0, 25.0, 5.0, 26.0, 36.0, 43.0, 39.0, 38.0, 42.0, 46.0, 33.0, 32.0, 36.0, 20.0, 21.0, 39.0, 10.0, 38.0, 21.0, 42.0, 49.0, 43.0, 28.0, 33.0, 28.0, 16.0, 10.0, 16.0, 49.0, 35.0, 31.0, 48.0, 8.0, 22.0, 43.0, 34.0, 9.0, 32.0, 48.0, 39.0, 43.0, 45.0, 44.0, 7.0, 6.0, 20.0, 16.0, 45.0, 23.0, 0.0, 42.0, 48.0, 14.0, 46.0, 20.0, 38.0, 48.0, 31.0, 49.0, 25.0, 23.0, 20.0, 18.0, 48.0, 19.0, 26.0, 39.0, 41.0, 48.0, 36.0, 45.0, 49.0, 47.0, 24.0, 2.0, 47.0, 19.0, 24.0, 0.0, 1.0, 49.0, 47.0, 49.0, 29.0, 48.0, 39.0, 39.0, 18.0, 11.0]",True,100,0.5,146
