,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,105573.0,0.0058116970176342875,"[23, 10, 3, 20, 24, 18, 40, 1, 23, 17, 23, 42, 11, 42, 47, 13, 15, 28, 9, 2, 13, 28, 43, 44, 31, 15, 29, 29, 38, 36, 35, 38, 15, 48, 13, 12, 6, 35, 19, 28, 0, 2, 41, 15, 20, 2, 16, 37, 0, 20, 38, 36, 36, 37, 34, 3, 47, 41, 17, 31, 2, 19, 43, 9, 41, 48, 27, 2, 21, 40, 38, 5, 27, 12, 25, 42, 21, 43, 38, 16, 41, 45, 42, 42, 35, 2, 28, 7, 48, 47, 35, 43, 24, 32, 26, 46, 47, 6, 48, 37, 28, 23, 30, 0, 36, 13, 43, 24, 42, 49, 33, 30, 38, 26, 3, 22, 45, 25, 21, 31, 25, 3, 49, 0, 28, 8, 4, 4, 40, 19, 46, 48, 9, 14, 28, 21, 20, 15, 10, 36, 19, 27, 2, 37, 4, 1, 40, 9, 3, 29]",True,150,0.6,49
1,1,115535.0,9.941270109993638,"[32.0, 16.0, 28.0, 44.0, 17.0, 34.0, 26.0, 30.0, 38.0, 20.0, 11.0, 49.0, 13.0, 29.0, 13.0, 26.0, 37.0, 14.0, 31.0, 12.0, 41.0, 3.0, 19.0, 28.0, 43.0, 8.0, 4.0, 35.0, 19.0, 35.0, 1.0, 19.0, 33.0, 20.0, 35.0, 21.0, 14.0, 26.0, 10.0, 27.0, 47.0, 10.0, 37.0, 26.0, 35.0, 19.0, 46.0, 38.0, 40.0, 46.0, 26.0, 0.0, 21.0, 42.0, 46.0, 14.0, 35.0, 2.0, 45.0, 47.0, 24.0, 8.0, 37.0, 36.0, 12.0, 45.0, 25.0, 7.0, 38.0, 21.0, 43.0, 32.0, 42.0, 15.0, 28.0, 48.0, 31.0, 44.0, 42.0, 44.0, 37.0, 26.0, 20.0, 6.0, 1.0, 5.0, 38.0, 43.0, 33.0, 41.0, 25.0, 27.0, 32.0, 4.0, 41.0, 43.0, 28.0, 42.0, 40.0, 8.0, 18.0, 45.0, 17.0, 8.0, 15.0, 49.0, 38.0, 20.0, 43.0, 46.0, 27.0, 30.0, 26.0, 36.0, 8.0, 28.0, 41.0, 1.0, 2.0, 2.0, 6.0, 5.0, 27.0, 14.0, 47.0, 31.0, 41.0, 34.0, 40.0, 21.0, 38.0, 42.0, 4.0, 16.0, 25.0, 38.0, 28.0, 44.0, 37.0, 19.0, 42.0, 26.0, 27.0, 13.0, 31.0, 36.0, 41.0, 49.0, 49.0, 39.0]",True,150,0.6,49
2,2,115535.0,19.55896011000732,"[32.0, 16.0, 28.0, 44.0, 17.0, 34.0, 26.0, 30.0, 38.0, 20.0, 11.0, 49.0, 13.0, 29.0, 13.0, 26.0, 37.0, 14.0, 31.0, 12.0, 41.0, 3.0, 19.0, 28.0, 43.0, 8.0, 4.0, 35.0, 19.0, 35.0, 1.0, 19.0, 33.0, 20.0, 35.0, 21.0, 14.0, 26.0, 10.0, 27.0, 47.0, 10.0, 37.0, 26.0, 35.0, 19.0, 46.0, 38.0, 40.0, 46.0, 26.0, 0.0, 21.0, 42.0, 46.0, 14.0, 35.0, 2.0, 45.0, 47.0, 24.0, 8.0, 37.0, 36.0, 12.0, 45.0, 25.0, 7.0, 38.0, 21.0, 43.0, 32.0, 42.0, 15.0, 28.0, 48.0, 31.0, 44.0, 42.0, 44.0, 37.0, 26.0, 20.0, 6.0, 1.0, 5.0, 38.0, 43.0, 33.0, 41.0, 25.0, 27.0, 32.0, 4.0, 41.0, 43.0, 28.0, 42.0, 40.0, 8.0, 18.0, 45.0, 17.0, 8.0, 15.0, 49.0, 38.0, 20.0, 43.0, 46.0, 27.0, 30.0, 26.0, 36.0, 8.0, 28.0, 41.0, 1.0, 2.0, 2.0, 6.0, 5.0, 27.0, 14.0, 47.0, 31.0, 41.0, 34.0, 40.0, 21.0, 38.0, 42.0, 4.0, 16.0, 25.0, 38.0, 28.0, 44.0, 37.0, 19.0, 42.0, 26.0, 27.0, 13.0, 31.0, 36.0, 41.0, 49.0, 49.0, 39.0]",True,150,0.6,49
3,3,116175.0,28.9383533539949,"[41.0, 19.0, 41.0, 49.0, 40.0, 13.0, 33.0, 21.0, 15.0, 13.0, 12.0, 9.0, 48.0, 44.0, 9.0, 37.0, 37.0, 6.0, 26.0, 35.0, 15.0, 28.0, 43.0, 33.0, 37.0, 12.0, 8.0, 39.0, 15.0, 49.0, 47.0, 13.0, 14.0, 3.0, 35.0, 14.0, 23.0, 35.0, 12.0, 36.0, 43.0, 33.0, 49.0, 36.0, 43.0, 24.0, 24.0, 46.0, 47.0, 27.0, 37.0, 46.0, 5.0, 18.0, 29.0, 39.0, 13.0, 46.0, 22.0, 11.0, 16.0, 3.0, 7.0, 48.0, 11.0, 49.0, 2.0, 44.0, 22.0, 8.0, 41.0, 47.0, 29.0, 9.0, 46.0, 39.0, 35.0, 35.0, 4.0, 10.0, 49.0, 48.0, 15.0, 19.0, 44.0, 23.0, 41.0, 6.0, 35.0, 9.0, 16.0, 19.0, 32.0, 25.0, 49.0, 35.0, 29.0, 0.0, 25.0, 33.0, 31.0, 41.0, 34.0, 27.0, 49.0, 1.0, 15.0, 24.0, 34.0, 44.0, 39.0, 14.0, 14.0, 35.0, 31.0, 33.0, 14.0, 26.0, 34.0, 26.0, 11.0, 48.0, 43.0, 39.0, 15.0, 44.0, 23.0, 39.0, 22.0, 47.0, 41.0, 48.0, 29.0, 49.0, 33.0, 9.0, 38.0, 4.0, 36.0, 37.0, 28.0, 11.0, 49.0, 37.0, 5.0, 38.0, 10.0, 38.0, 8.0, 40.0]",True,150,0.6,49
4,4,119349.0,38.30619310299517,"[41.0, 10.0, 41.0, 17.0, 40.0, 13.0, 33.0, 38.0, 30.0, 7.0, 46.0, 36.0, 42.0, 44.0, 13.0, 37.0, 37.0, 10.0, 26.0, 35.0, 10.0, 28.0, 43.0, 33.0, 23.0, 22.0, 8.0, 43.0, 15.0, 49.0, 47.0, 43.0, 36.0, 3.0, 35.0, 0.0, 9.0, 35.0, 4.0, 36.0, 43.0, 33.0, 26.0, 18.0, 32.0, 24.0, 24.0, 46.0, 12.0, 27.0, 37.0, 46.0, 5.0, 18.0, 43.0, 39.0, 13.0, 46.0, 22.0, 11.0, 16.0, 3.0, 39.0, 48.0, 12.0, 49.0, 2.0, 44.0, 41.0, 8.0, 45.0, 47.0, 29.0, 43.0, 10.0, 39.0, 35.0, 35.0, 25.0, 10.0, 49.0, 13.0, 15.0, 19.0, 44.0, 23.0, 41.0, 6.0, 35.0, 9.0, 25.0, 19.0, 32.0, 25.0, 49.0, 35.0, 19.0, 49.0, 25.0, 33.0, 31.0, 41.0, 34.0, 27.0, 49.0, 1.0, 42.0, 41.0, 34.0, 44.0, 39.0, 39.0, 14.0, 35.0, 32.0, 33.0, 41.0, 44.0, 10.0, 26.0, 11.0, 32.0, 2.0, 43.0, 15.0, 44.0, 23.0, 39.0, 22.0, 47.0, 41.0, 48.0, 29.0, 49.0, 6.0, 9.0, 38.0, 46.0, 36.0, 37.0, 13.0, 11.0, 49.0, 37.0, 5.0, 38.0, 10.0, 38.0, 8.0, 40.0]",True,150,0.6,49
5,5,120795.0,47.563035660015885,"[32.0, 16.0, 28.0, 11.0, 17.0, 34.0, 13.0, 47.0, 38.0, 41.0, 24.0, 49.0, 13.0, 23.0, 13.0, 37.0, 37.0, 36.0, 31.0, 49.0, 41.0, 3.0, 19.0, 28.0, 24.0, 16.0, 4.0, 35.0, 19.0, 35.0, 1.0, 19.0, 10.0, 25.0, 25.0, 43.0, 14.0, 10.0, 11.0, 34.0, 47.0, 10.0, 37.0, 41.0, 46.0, 19.0, 46.0, 38.0, 40.0, 46.0, 26.0, 6.0, 21.0, 42.0, 31.0, 24.0, 35.0, 2.0, 45.0, 20.0, 24.0, 8.0, 11.0, 36.0, 12.0, 45.0, 6.0, 6.0, 38.0, 21.0, 43.0, 32.0, 42.0, 48.0, 19.0, 23.0, 48.0, 45.0, 42.0, 39.0, 37.0, 36.0, 42.0, 47.0, 26.0, 8.0, 38.0, 43.0, 33.0, 14.0, 45.0, 48.0, 41.0, 4.0, 41.0, 23.0, 28.0, 32.0, 36.0, 8.0, 20.0, 45.0, 17.0, 38.0, 15.0, 49.0, 38.0, 28.0, 43.0, 46.0, 27.0, 30.0, 16.0, 36.0, 8.0, 49.0, 41.0, 34.0, 39.0, 31.0, 6.0, 47.0, 27.0, 1.0, 34.0, 3.0, 42.0, 34.0, 21.0, 21.0, 38.0, 42.0, 4.0, 16.0, 44.0, 38.0, 28.0, 44.0, 16.0, 16.0, 6.0, 26.0, 27.0, 10.0, 24.0, 26.0, 41.0, 47.0, 49.0, 15.0]",True,150,0.6,49
6,6,121428.0,56.76152368201292,"[41.0, 10.0, 41.0, 49.0, 40.0, 13.0, 33.0, 21.0, 30.0, 7.0, 46.0, 36.0, 48.0, 48.0, 13.0, 37.0, 37.0, 6.0, 19.0, 35.0, 14.0, 28.0, 43.0, 33.0, 23.0, 22.0, 2.0, 43.0, 15.0, 49.0, 22.0, 43.0, 36.0, 3.0, 35.0, 14.0, 23.0, 35.0, 12.0, 36.0, 28.0, 33.0, 49.0, 18.0, 32.0, 24.0, 24.0, 19.0, 47.0, 27.0, 37.0, 46.0, 5.0, 18.0, 43.0, 39.0, 13.0, 46.0, 22.0, 9.0, 16.0, 3.0, 39.0, 48.0, 11.0, 49.0, 2.0, 21.0, 41.0, 43.0, 41.0, 47.0, 29.0, 9.0, 3.0, 5.0, 35.0, 35.0, 25.0, 10.0, 49.0, 48.0, 15.0, 19.0, 44.0, 23.0, 41.0, 6.0, 35.0, 9.0, 16.0, 42.0, 25.0, 25.0, 49.0, 35.0, 29.0, 49.0, 25.0, 33.0, 36.0, 41.0, 34.0, 27.0, 49.0, 1.0, 42.0, 41.0, 34.0, 44.0, 39.0, 39.0, 29.0, 35.0, 32.0, 33.0, 14.0, 44.0, 34.0, 26.0, 8.0, 48.0, 43.0, 39.0, 15.0, 44.0, 23.0, 39.0, 22.0, 47.0, 41.0, 48.0, 29.0, 49.0, 6.0, 9.0, 38.0, 46.0, 36.0, 37.0, 16.0, 11.0, 49.0, 37.0, 5.0, 38.0, 7.0, 38.0, 8.0, 40.0]",True,150,0.6,49
7,7,123234.0,65.85431643700576,"[41.0, 19.0, 41.0, 49.0, 40.0, 13.0, 33.0, 16.0, 30.0, 7.0, 46.0, 36.0, 48.0, 44.0, 13.0, 37.0, 37.0, 22.0, 19.0, 35.0, 14.0, 28.0, 43.0, 33.0, 23.0, 22.0, 2.0, 39.0, 13.0, 49.0, 47.0, 43.0, 14.0, 3.0, 35.0, 0.0, 23.0, 35.0, 12.0, 35.0, 43.0, 33.0, 49.0, 18.0, 32.0, 24.0, 24.0, 46.0, 12.0, 27.0, 37.0, 46.0, 5.0, 18.0, 43.0, 39.0, 13.0, 39.0, 22.0, 9.0, 16.0, 3.0, 7.0, 48.0, 12.0, 49.0, 2.0, 44.0, 41.0, 43.0, 41.0, 47.0, 29.0, 9.0, 46.0, 39.0, 35.0, 35.0, 25.0, 10.0, 49.0, 9.0, 15.0, 19.0, 44.0, 23.0, 41.0, 6.0, 35.0, 34.0, 16.0, 19.0, 32.0, 25.0, 49.0, 35.0, 29.0, 32.0, 25.0, 33.0, 36.0, 44.0, 34.0, 27.0, 49.0, 1.0, 15.0, 41.0, 34.0, 44.0, 44.0, 30.0, 14.0, 35.0, 31.0, 33.0, 41.0, 44.0, 34.0, 26.0, 8.0, 48.0, 43.0, 39.0, 15.0, 44.0, 23.0, 39.0, 22.0, 47.0, 41.0, 48.0, 29.0, 49.0, 33.0, 9.0, 38.0, 46.0, 36.0, 37.0, 13.0, 11.0, 49.0, 37.0, 32.0, 38.0, 7.0, 38.0, 8.0, 40.0]",True,150,0.6,49
8,8,124906.0,74.80540223099524,"[41.0, 19.0, 41.0, 49.0, 40.0, 13.0, 33.0, 16.0, 30.0, 7.0, 46.0, 9.0, 48.0, 48.0, 13.0, 37.0, 37.0, 10.0, 19.0, 35.0, 14.0, 28.0, 43.0, 33.0, 23.0, 22.0, 8.0, 43.0, 15.0, 49.0, 47.0, 43.0, 14.0, 3.0, 35.0, 14.0, 23.0, 35.0, 4.0, 36.0, 28.0, 33.0, 49.0, 18.0, 32.0, 24.0, 24.0, 46.0, 47.0, 27.0, 37.0, 46.0, 5.0, 18.0, 43.0, 39.0, 13.0, 46.0, 22.0, 11.0, 16.0, 3.0, 39.0, 48.0, 12.0, 49.0, 2.0, 44.0, 41.0, 43.0, 45.0, 47.0, 29.0, 43.0, 10.0, 39.0, 35.0, 35.0, 4.0, 10.0, 49.0, 13.0, 15.0, 19.0, 44.0, 23.0, 41.0, 6.0, 35.0, 34.0, 16.0, 42.0, 25.0, 25.0, 49.0, 35.0, 19.0, 49.0, 25.0, 33.0, 31.0, 41.0, 34.0, 27.0, 49.0, 1.0, 42.0, 41.0, 34.0, 44.0, 39.0, 39.0, 29.0, 35.0, 32.0, 33.0, 41.0, 44.0, 34.0, 26.0, 11.0, 32.0, 43.0, 39.0, 15.0, 44.0, 23.0, 39.0, 22.0, 47.0, 41.0, 48.0, 29.0, 49.0, 33.0, 9.0, 38.0, 46.0, 36.0, 37.0, 16.0, 11.0, 49.0, 37.0, 32.0, 36.0, 10.0, 38.0, 8.0, 40.0]",True,150,0.6,49
9,9,124906.0,83.83402560700779,"[41.0, 19.0, 41.0, 49.0, 40.0, 13.0, 33.0, 16.0, 30.0, 7.0, 46.0, 9.0, 48.0, 48.0, 13.0, 37.0, 37.0, 10.0, 19.0, 35.0, 14.0, 28.0, 43.0, 33.0, 23.0, 22.0, 8.0, 43.0, 15.0, 49.0, 47.0, 43.0, 14.0, 3.0, 35.0, 14.0, 23.0, 35.0, 4.0, 36.0, 28.0, 33.0, 49.0, 18.0, 32.0, 24.0, 24.0, 46.0, 47.0, 27.0, 37.0, 46.0, 5.0, 18.0, 43.0, 39.0, 13.0, 46.0, 22.0, 11.0, 16.0, 3.0, 39.0, 48.0, 12.0, 49.0, 2.0, 44.0, 41.0, 43.0, 45.0, 47.0, 29.0, 43.0, 10.0, 39.0, 35.0, 35.0, 4.0, 10.0, 49.0, 13.0, 15.0, 19.0, 44.0, 23.0, 41.0, 6.0, 35.0, 34.0, 16.0, 42.0, 25.0, 25.0, 49.0, 35.0, 19.0, 49.0, 25.0, 33.0, 31.0, 41.0, 34.0, 27.0, 49.0, 1.0, 42.0, 41.0, 34.0, 44.0, 39.0, 39.0, 29.0, 35.0, 32.0, 33.0, 41.0, 44.0, 34.0, 26.0, 11.0, 32.0, 43.0, 39.0, 15.0, 44.0, 23.0, 39.0, 22.0, 47.0, 41.0, 48.0, 29.0, 49.0, 33.0, 9.0, 38.0, 46.0, 36.0, 37.0, 16.0, 11.0, 49.0, 37.0, 32.0, 36.0, 10.0, 38.0, 8.0, 40.0]",True,150,0.6,49
