,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.005525048996787518,109203.0,True,150,0.9,49
1,1,13.342334419983672,109475.0,True,150,0.9,49
2,2,26.37517762699281,109475.0,True,150,0.9,49
3,3,39.28977476997534,110390.0,True,150,0.9,49
4,4,52.1642395509989,110523.0,True,150,0.9,49
5,5,65.0351669069787,110523.0,True,150,0.9,49
6,6,77.70226383698173,111900.0,True,150,0.9,49
7,7,90.51303800797905,111900.0,True,150,0.9,49
8,8,103.51092958799563,111900.0,True,150,0.9,49
9,9,116.47769979498116,111900.0,True,150,0.9,49
10,10,128.9993727649853,111900.0,True,150,0.9,49
11,11,141.37865314100054,113483.0,True,150,0.9,49
12,12,153.77551768097328,113483.0,True,150,0.9,49
13,13,166.0922641979996,113483.0,True,150,0.9,49
14,14,178.4546827239974,113483.0,True,150,0.9,49
15,15,190.67132693197345,113483.0,True,150,0.9,49
16,16,202.94101777797914,114384.0,True,150,0.9,49
17,17,215.13472775099217,114781.0,True,150,0.9,49
18,18,227.36616602897993,114781.0,True,150,0.9,49
19,19,239.59200241198414,114781.0,True,150,0.9,49
20,20,251.98522518298705,114781.0,True,150,0.9,49
21,21,264.1590699579974,114781.0,True,150,0.9,49
22,22,276.3156003689801,114781.0,True,150,0.9,49
