,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.0001825359940994531,6.0,1000,4901
1,1,0.0009011100046336651,6.0,1000,4901
2,2,0.005840537982294336,6.0,1000,4901
3,3,0.006258159002754837,7.0,1000,4901
4,4,0.006516663997899741,7.0,1000,4901
5,5,0.0067754559859167784,6.0,1000,4901
6,6,0.007019584998488426,6.0,1000,4901
7,7,0.007259892008733004,6.0,1000,4901
8,8,0.007498363003833219,6.0,1000,4901
9,9,0.007737196981906891,6.0,1000,4901
10,10,0.007976572989718989,6.0,1000,4901
11,11,0.008215264999307692,6.0,1000,4901
12,12,0.008453143003862351,6.0,1000,4901
13,13,0.008691367984283715,7.0,1000,4901
14,14,0.008924594993004575,7.0,1000,4901
15,15,0.009182648995192721,7.0,1000,4901
16,16,0.009420585993211716,7.0,1000,4901
17,17,0.009658091003075242,7.0,1000,4901
18,18,0.009895995986880735,7.0,1000,4901
19,19,0.010134645999642089,7.0,1000,4901
20,20,0.010381256986875087,7.0,1000,4901
21,21,0.010627128009218723,7.0,1000,4901
22,22,0.010898915003053844,7.0,1000,4901
23,23,0.011139837006339803,7.0,1000,4901
24,24,0.011387551989173517,7.0,1000,4901
25,25,0.011625379993347451,7.0,1000,4901
26,26,0.011863959982292727,11.0,1000,4901
27,27,0.012097105995053425,11.0,1000,4901
28,28,0.012341427005594596,11.0,1000,4901
29,29,0.012591770995641127,11.0,1000,4901
30,30,0.012830293999286368,11.0,1000,4901
31,31,0.01307323799119331,7.0,1000,4901
32,32,0.01332402098341845,8.0,1000,4901
33,33,0.013566324982093647,7.0,1000,4901
34,34,0.013805324997520074,7.0,1000,4901
35,35,0.01404826799989678,7.0,1000,4901
36,36,0.014320004993351176,7.0,1000,4901
37,37,0.01456824000342749,7.0,1000,4901
38,38,0.01482408499578014,7.0,1000,4901
39,39,0.015064217994222417,7.0,1000,4901
40,40,0.015303091000532731,7.0,1000,4901
41,41,0.015542003005975857,6.0,1000,4901
42,42,0.01580170899978839,6.0,1000,4901
43,43,0.016044244985096157,6.0,1000,4901
44,44,0.01628996300860308,6.0,1000,4901
45,45,0.01653026498388499,6.0,1000,4901
46,46,0.016770168993389234,6.0,1000,4901
47,47,0.01701032801065594,6.0,1000,4901
48,48,0.017249411001103,6.0,1000,4901
49,49,0.017498216999229044,6.0,1000,4901
50,50,0.017737552989274263,6.0,1000,4901
51,51,0.017976887989789248,6.0,1000,4901
52,52,0.018224487983388826,6.0,1000,4901
53,53,0.018537861993536353,7.0,1000,4901
54,54,0.018820291006704792,6.0,1000,4901
55,55,0.01907273699180223,6.0,1000,4901
56,56,0.019342526997206733,6.0,1000,4901
57,57,0.019594557001255453,6.0,1000,4901
58,58,0.019835452985716984,6.0,1000,4901
59,59,0.020086350006749853,6.0,1000,4901
60,60,0.020326041005318984,6.0,1000,4901
61,61,0.020566341001540422,6.0,1000,4901
62,62,0.020884995989035815,6.0,1000,4901
63,63,0.021161462005693465,6.0,1000,4901
64,64,0.02141456099343486,6.0,1000,4901
65,65,0.021655933000147343,6.0,1000,4901
66,66,0.021901266009081155,6.0,1000,4901
67,67,0.02215231698937714,6.0,1000,4901
68,68,0.02261098098824732,6.0,1000,4901
69,69,0.02290724599151872,6.0,1000,4901
70,70,0.023153799993451685,6.0,1000,4901
71,71,0.023397031996864825,6.0,1000,4901
72,72,0.02363978500943631,6.0,1000,4901
73,73,0.023893523000879213,7.0,1000,4901
74,74,0.02412994098267518,6.0,1000,4901
75,75,0.02439106599194929,6.0,1000,4901
76,76,0.024639485985971987,6.0,1000,4901
77,77,0.024880068987840787,6.0,1000,4901
78,78,0.02513192899641581,6.0,1000,4901
79,79,0.02538047800771892,6.0,1000,4901
80,80,0.025629035983001813,6.0,1000,4901
81,81,0.025869439996313304,6.0,1000,4901
82,82,0.026144798001041636,6.0,1000,4901
83,83,0.026462854992132634,6.0,1000,4901
84,84,0.02674641099292785,6.0,1000,4901
85,85,0.027005318988813087,6.0,1000,4901
86,86,0.027276203996734694,6.0,1000,4901
87,87,0.02751971999532543,6.0,1000,4901
88,88,0.02776079799514264,6.0,1000,4901
89,89,0.02800461300648749,6.0,1000,4901
90,90,0.02824604799388908,6.0,1000,4901
91,91,0.028487236995715648,6.0,1000,4901
92,92,0.028742903989041224,6.0,1000,4901
93,93,0.028985085984459147,6.0,1000,4901
94,94,0.029235377005534247,6.0,1000,4901
95,95,0.029497107985662296,6.0,1000,4901
96,96,0.029738737997831777,6.0,1000,4901
97,97,0.029988157999468967,6.0,1000,4901
