,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.0005567349944612943,106.0,0,901,0
1,1,0.0020769499969901517,108.0,0,901,0
2,2,0.007149960998503957,108.0,0,901,0
3,3,0.007666726000024937,108.0,0,901,0
4,4,0.00817551899672253,108.0,0,901,0
5,5,0.008677405996422749,110.0,0,901,0
6,6,0.00966552699537715,110.0,0,901,0
7,7,0.010180347999266814,110.0,0,901,0
8,8,0.01067876899469411,110.0,0,901,0
9,9,0.011178618995472789,110.0,0,901,0
10,10,0.011676440000883304,112.0,0,901,0
11,11,0.012692933996731881,112.0,0,901,0
12,12,0.01319231099478202,112.0,0,901,0
13,13,0.013692291999177542,112.0,0,901,0
14,14,0.014219560995115899,112.0,0,901,0
15,15,0.014744609994522762,112.0,0,901,0
16,16,0.015242556997691281,112.0,0,901,0
17,17,0.015751344995805994,112.0,0,901,0
18,18,0.016252948000328615,112.0,0,901,0
19,19,0.016753332994994707,114.0,0,901,0
20,20,0.01775283100141678,114.0,0,901,0
21,21,0.01825908399769105,114.0,0,901,0
22,22,0.018984886999533046,114.0,0,901,0
23,23,0.019506812997860834,114.0,0,901,0
24,24,0.020031460997415707,114.0,0,901,0
25,25,0.020535550997010432,114.0,0,901,0
26,26,0.021062289000838064,114.0,0,901,0
27,27,0.021573246995103545,114.0,0,901,0
28,28,0.022103161994891707,114.0,0,901,0
29,29,0.022630601000855677,114.0,0,901,0
30,30,0.023128665001422632,114.0,0,901,0
31,31,0.023656643999856897,114.0,0,901,0
32,32,0.024156054998456966,114.0,0,901,0
33,33,0.024683024996193126,114.0,0,901,0
34,34,0.025183705998642836,114.0,0,901,0
35,35,0.02569015799963381,114.0,0,901,0
36,36,0.026201073997071944,114.0,0,901,0
37,37,0.02670415800093906,114.0,0,901,0
38,38,0.027202602999750525,114.0,0,901,0
39,39,0.027728260996809695,116.0,0,901,0
40,40,0.0286948430002667,116.0,0,901,0
41,41,0.029196532996138558,116.0,0,901,0
42,42,0.0297009040004923,116.0,0,901,0
43,43,0.030253755001467653,116.0,0,901,0
44,44,0.030754097999306396,116.0,0,901,0
45,45,0.03125433099921793,116.0,0,901,0
46,46,0.03175378099695081,118.0,0,901,0
47,47,0.03274321999924723,118.0,0,901,0
48,48,0.033240261996979825,118.0,0,901,0
49,49,0.03373830200143857,118.0,0,901,0
50,50,0.03425269600120373,118.0,0,901,0
51,51,0.034758007001073565,118.0,0,901,0
52,52,0.03528904899576446,120.0,0,901,0
53,53,0.03627800200047204,120.0,0,901,0
54,54,0.036787769000511616,122.0,0,901,0
55,55,0.03776950699830195,122.0,0,901,0
56,56,0.03827651299798163,122.0,0,901,0
57,57,0.038774376997025684,122.0,0,901,0
58,58,0.039303375997405965,122.0,0,901,0
59,59,0.03986479599552695,122.0,0,901,0
60,60,0.04039057099726051,122.0,0,901,0
61,61,0.04096691599988844,124.0,0,901,0
62,62,0.04196250599488849,124.0,0,901,0
63,63,0.042469884996535257,124.0,0,901,0
