,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,57015.0,9.988999954657629e-05,"[29, 46, 34, 40, 19, 10, 31, 2, 22, 34, 5, 33, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 4, 21, 37, 39, 28, 17, 49, 2, 35, 40, 37, 5, 32, 49, 4, 28, 17, 12, 19, 49, 45, 20, 17, 19, 5, 25, 27, 9, 11, 29, 36, 0, 41, 35, 31, 32, 10, 23, 42, 44, 26, 21, 3, 21, 11, 41, 24, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 33, 48, 3, 10, 6, 12, 29, 26, 6, 19, 9, 21, 23, 28, 25, 46, 5, 4, 33]",0,901,0
1,1,57015.0,0.0005094569987704745,"[29, 46, 34, 40, 19, 10, 31, 2, 22, 34, 5, 33, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 4, 21, 37, 39, 28, 17, 49, 2, 35, 40, 37, 5, 32, 49, 4, 28, 17, 12, 19, 49, 45, 20, 17, 19, 5, 25, 27, 9, 11, 29, 36, 0, 41, 35, 31, 32, 10, 23, 42, 44, 26, 21, 3, 21, 11, 41, 24, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 33, 48, 3, 10, 6, 12, 29, 26, 6, 19, 9, 21, 23, 28, 25, 46, 5, 4, 33]",0,901,0
2,101,68587.0,0.012401694999425672,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 11, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
3,201,68587.0,0.02520073300001968,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 11, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
4,301,68587.0,0.038817175998701714,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 11, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
5,401,68587.0,0.054076546999567654,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 11, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
6,501,68621.0,0.07037923999996565,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 12, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
7,601,68621.0,0.08811420799975167,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 12, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
8,701,68621.0,0.10705621499982954,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 12, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
9,801,68621.0,0.12734397100030037,"[29, 46, 34, 40, 48, 23, 31, 19, 22, 34, 5, 37, 10, 22, 44, 39, 15, 39, 16, 39, 7, 9, 11, 9, 43, 45, 37, 39, 43, 39, 49, 27, 35, 40, 40, 35, 32, 49, 4, 28, 48, 41, 19, 49, 45, 47, 17, 42, 5, 25, 48, 9, 11, 29, 36, 5, 46, 35, 43, 32, 10, 23, 42, 44, 26, 21, 34, 21, 12, 41, 40, 48, 7, 45, 1, 40, 9, 43, 26, 34, 38, 36, 48, 3, 10, 45, 12, 29, 26, 46, 42, 9, 21, 31, 28, 25, 46, 5, 4, 47]",0,901,0
