,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.00010145800115424208,54742.0,0,901,0
1,1,0.0005345160006982042,54907.0,0,901,0
2,2,0.004640079001546837,54907.0,0,901,0
3,3,0.004719607000879478,54907.0,0,901,0
4,4,0.004789931001141667,54916.0,0,901,0
5,5,0.004877689001659746,55084.0,0,901,0
6,6,0.004964344001564314,55651.0,0,901,0
7,7,0.005049618001066847,55651.0,0,901,0
8,8,0.005115778001709259,57351.0,0,901,0
9,9,0.005200562000027276,57351.0,0,901,0
10,10,0.005266011001367588,57351.0,0,901,0
11,11,0.0053307430007407675,57351.0,0,901,0
12,12,0.005395113001213758,57471.0,0,901,0
13,13,0.005479989000377827,57471.0,0,901,0
14,14,0.00554582000040682,57471.0,0,901,0
15,15,0.005611188000330003,57471.0,0,901,0
16,16,0.0056755270015855785,57999.0,0,901,0
17,17,0.005760353000368923,57999.0,0,901,0
18,18,0.005824990001201513,57999.0,0,901,0
19,19,0.005888624000363052,57999.0,0,901,0
20,20,0.005952471999989939,57999.0,0,901,0
21,21,0.006015124001351069,57999.0,0,901,0
22,22,0.006078667000110727,59812.0,0,901,0
23,23,0.006183151001096121,59812.0,0,901,0
24,24,0.006247543000426958,59812.0,0,901,0
25,25,0.006331624001177261,60004.0,0,901,0
26,26,0.006429301000025589,60004.0,0,901,0
27,27,0.006494993000160321,60004.0,0,901,0
28,28,0.006560842000908451,60276.0,0,901,0
29,29,0.006645925001066644,60276.0,0,901,0
30,30,0.006710508001560811,60708.0,0,901,0
31,31,0.006795499000872951,60730.0,0,901,0
32,32,0.006879670001580962,60730.0,0,901,0
33,33,0.006944892000319669,60730.0,0,901,0
34,34,0.007010395000179415,60730.0,0,901,0
35,35,0.007076832000166178,60730.0,0,901,0
36,36,0.007143943001210573,60730.0,0,901,0
37,37,0.007209929000964621,61114.0,0,901,0
38,38,0.007296953001059592,61114.0,0,901,0
39,39,0.0073629080015962245,61180.0,0,901,0
40,40,0.00744883200059121,61412.0,0,901,0
41,41,0.0075348300015321,61412.0,0,901,0
42,42,0.007600811000884278,61412.0,0,901,0
43,43,0.007666148001590045,61610.0,0,901,0
44,44,0.007752410001558019,62534.0,0,901,0
45,45,0.007838670000637649,62534.0,0,901,0
46,46,0.007925741001599818,62534.0,0,901,0
47,47,0.007993314000486862,62534.0,0,901,0
48,48,0.008061078000537236,62914.0,0,901,0
49,49,0.008148011000230326,62914.0,0,901,0
50,50,0.008215322000978631,62914.0,0,901,0
51,51,0.008282832000986673,62914.0,0,901,0
52,52,0.008350819000042975,63028.0,0,901,0
53,53,0.008439659000941901,63028.0,0,901,0
54,54,0.008507178999934695,64064.0,0,901,0
55,55,0.008594264001658303,64064.0,0,901,0
56,56,0.008662118001666386,64295.0,0,901,0
57,57,0.008749391001401818,64615.0,0,901,0
58,58,0.008836847000566195,64615.0,0,901,0
59,59,0.008905811000659014,64624.0,0,901,0
60,60,0.008994470001198351,64998.0,0,901,0
61,61,0.009082534001208842,64998.0,0,901,0
62,62,0.009150162000878481,64998.0,0,901,0
63,63,0.009218163000696222,65222.0,0,901,0
64,64,0.009306132000347134,65222.0,0,901,0
65,65,0.009374544000820606,65222.0,0,901,0
66,66,0.009443047001695959,65222.0,0,901,0
67,67,0.009511548001682968,65222.0,0,901,0
68,68,0.009579250001479522,65222.0,0,901,0
69,69,0.009647279001001152,65450.0,0,901,0
70,70,0.00973605300168856,65469.0,0,901,0
71,71,0.009824535000007018,65481.0,0,901,0
72,72,0.00991310600147699,66481.0,0,901,0
73,73,0.01000517300053616,66481.0,0,901,0
74,74,0.010071900000184542,66481.0,0,901,0
75,75,0.010138225999980932,66481.0,0,901,0
76,76,0.010204558000623365,66481.0,0,901,0
77,77,0.01026935500158288,66481.0,0,901,0
78,78,0.010349406000386807,66481.0,0,901,0
79,79,0.010420630000226083,66481.0,0,901,0
80,80,0.010490069000297808,66481.0,0,901,0
81,81,0.01055621900013648,66481.0,0,901,0
82,82,0.010624981001456035,66481.0,0,901,0
83,83,0.010691277000660193,66481.0,0,901,0
84,84,0.010760705999928177,66481.0,0,901,0
85,85,0.010827189000337967,66481.0,0,901,0
86,86,0.01089658400087501,66481.0,0,901,0
87,87,0.010966049001581268,66481.0,0,901,0
88,88,0.011034287001166376,66481.0,0,901,0
89,89,0.011107659000117565,66641.0,0,901,0
90,90,0.011198864000107278,66641.0,0,901,0
91,91,0.011290497001027688,66641.0,0,901,0
92,92,0.0113615900008881,66641.0,0,901,0
93,93,0.011429871001382708,66641.0,0,901,0
94,94,0.011500136000904604,66641.0,0,901,0
95,95,0.01157011000032071,66641.0,0,901,0
96,96,0.01164136000079452,66641.0,0,901,0
97,97,0.011711990000549122,66641.0,0,901,0
98,98,0.011782889001551666,66641.0,0,901,0
99,99,0.011850253000375233,66641.0,0,901,0
100,100,0.011921064000489423,66641.0,0,901,0
101,101,0.011989090000497526,66641.0,0,901,0
102,102,0.01675120300023991,66641.0,0,901,0
103,103,0.01684111200120242,66641.0,0,901,0
104,104,0.01691866500004835,66641.0,0,901,0
105,105,0.016993038001601235,66641.0,0,901,0
106,106,0.017063630000848207,66641.0,0,901,0
107,107,0.01713746800123772,66641.0,0,901,0
108,108,0.01721031100169057,66641.0,0,901,0
109,109,0.01727908900102193,66641.0,0,901,0
110,110,0.01734866400147439,66641.0,0,901,0
111,111,0.017420936001144582,66641.0,0,901,0
112,112,0.0174932580011955,66641.0,0,901,0
113,113,0.017565463000210002,66641.0,0,901,0
114,114,0.017637115000979975,66641.0,0,901,0
115,115,0.017708943001707667,66641.0,0,901,0
116,116,0.017781079000997124,66641.0,0,901,0
117,117,0.017853010000180802,66641.0,0,901,0
118,118,0.01792441200086614,66641.0,0,901,0
119,119,0.017993764000493684,66641.0,0,901,0
120,120,0.018077701000947854,66641.0,0,901,0
121,121,0.018155527000999427,66641.0,0,901,0
122,122,0.018227930000648485,66641.0,0,901,0
123,123,0.018299214001672226,66641.0,0,901,0
124,124,0.0183861440000328,66697.0,0,901,0
125,125,0.018479412001397577,66697.0,0,901,0
126,126,0.018549829001131002,66697.0,0,901,0
127,127,0.018620677999933832,66697.0,0,901,0
128,128,0.018694895999942673,66697.0,0,901,0
129,129,0.018769305001114844,66697.0,0,901,0
130,130,0.01884422600051039,66697.0,0,901,0
131,131,0.018919572999948286,66697.0,0,901,0
132,132,0.01899355900059163,66697.0,0,901,0
133,133,0.019068365001658094,66697.0,0,901,0
134,134,0.0191432720002922,66697.0,0,901,0
135,135,0.019214394000300672,66697.0,0,901,0
136,136,0.01928919700003462,66697.0,0,901,0
137,137,0.019365015001312713,66697.0,0,901,0
138,138,0.019437268001638586,66697.0,0,901,0
139,139,0.01951212600033614,66697.0,0,901,0
140,140,0.019583990000683116,66697.0,0,901,0
141,141,0.019658633000290138,66697.0,0,901,0
142,142,0.0197333330015681,66697.0,0,901,0
143,143,0.019808398001259775,66697.0,0,901,0
144,144,0.019882378001057077,66697.0,0,901,0
145,145,0.01995510300002934,66697.0,0,901,0
146,146,0.02002707400060899,66697.0,0,901,0
147,147,0.020101365000300575,66697.0,0,901,0
148,148,0.020173416000034194,66697.0,0,901,0
149,149,0.020251696001651,66697.0,0,901,0
150,150,0.02032499800043297,66697.0,0,901,0
151,151,0.020396589001393295,66697.0,0,901,0
152,152,0.020469042001423077,66697.0,0,901,0
153,153,0.020542480000585783,66697.0,0,901,0
154,154,0.02061876200059487,66697.0,0,901,0
155,155,0.0206901840010687,66697.0,0,901,0
156,156,0.020761959000083152,66697.0,0,901,0
157,157,0.020837971000219113,66697.0,0,901,0
158,158,0.020910758001264185,66697.0,0,901,0
159,159,0.020983641001294018,66697.0,0,901,0
160,160,0.02106030700088013,66697.0,0,901,0
161,161,0.021133483000085107,66697.0,0,901,0
162,162,0.02121019700098259,66697.0,0,901,0
163,163,0.021286160001181997,66697.0,0,901,0
164,164,0.02136244500070461,66697.0,0,901,0
165,165,0.021456189000673476,66697.0,0,901,0
166,166,0.02153262200044992,66697.0,0,901,0
167,167,0.02160878200083971,66697.0,0,901,0
168,168,0.021685039000658435,66697.0,0,901,0
169,169,0.021758827000667225,66697.0,0,901,0
170,170,0.02183597600014764,66697.0,0,901,0
171,171,0.02190924500064284,66697.0,0,901,0
172,172,0.02198733600016567,66697.0,0,901,0
173,173,0.022065619999921182,66697.0,0,901,0
174,174,0.022142350000649458,66697.0,0,901,0
175,175,0.02222099100072228,66697.0,0,901,0
176,176,0.022297546000118018,66697.0,0,901,0
177,177,0.022399723000489757,66697.0,0,901,0
178,178,0.02247724900007597,66697.0,0,901,0
179,179,0.022556157000508392,66697.0,0,901,0
180,180,0.022633797001617495,66697.0,0,901,0
181,181,0.022712286001478788,66697.0,0,901,0
182,182,0.022786961000747397,66697.0,0,901,0
183,183,0.022864836000735522,66697.0,0,901,0
184,184,0.022943183001189027,66697.0,0,901,0
185,185,0.02301915700081736,66697.0,0,901,0
186,186,0.023097343000699766,66697.0,0,901,0
187,187,0.02319270000043616,66697.0,0,901,0
188,188,0.023267703001693008,66697.0,0,901,0
189,189,0.023345732000962016,66697.0,0,901,0
190,190,0.023423946000548312,66697.0,0,901,0
191,191,0.023502718000599998,66697.0,0,901,0
192,192,0.023582028999953764,66697.0,0,901,0
193,193,0.023657230000026175,66697.0,0,901,0
194,194,0.02373569700102962,66697.0,0,901,0
195,195,0.023813167001208058,66697.0,0,901,0
196,196,0.02388836400132277,66697.0,0,901,0
197,197,0.023963790001289453,66697.0,0,901,0
198,198,0.024042756000199006,66697.0,0,901,0
199,199,0.024118024000927107,66697.0,0,901,0
200,200,0.024197485001423047,66697.0,0,901,0
201,201,0.024272936001580092,66697.0,0,901,0
202,202,0.02961542100092629,66697.0,0,901,0
203,203,0.0297148070003459,66697.0,0,901,0
204,204,0.029799677000482916,66697.0,0,901,0
205,205,0.02987828600089415,66697.0,0,901,0
206,206,0.029960382000354002,66697.0,0,901,0
207,207,0.030041557000004104,66697.0,0,901,0
208,208,0.030122254000161774,66697.0,0,901,0
209,209,0.030200509001588216,66697.0,0,901,0
210,210,0.03028124600132287,66697.0,0,901,0
211,211,0.030390402000193717,66697.0,0,901,0
212,212,0.030468124999970314,66697.0,0,901,0
213,213,0.030547877000572043,66697.0,0,901,0
214,214,0.030625847000919748,66697.0,0,901,0
215,215,0.030705627001225366,66697.0,0,901,0
216,216,0.030785812999965856,66697.0,0,901,0
217,217,0.030862935000186553,66697.0,0,901,0
218,218,0.030939606000174535,66697.0,0,901,0
219,219,0.031019568001283915,66697.0,0,901,0
220,220,0.03109724300156813,66697.0,0,901,0
221,221,0.031177078000837355,66697.0,0,901,0
222,222,0.0312573560004239,66697.0,0,901,0
223,223,0.03133530500053894,66697.0,0,901,0
224,224,0.03141550600048504,66697.0,0,901,0
225,225,0.031496053999944706,66697.0,0,901,0
226,226,0.03158796700154198,66697.0,0,901,0
227,227,0.03167671600022004,66697.0,0,901,0
228,228,0.031757316000948776,66697.0,0,901,0
229,229,0.03183538100165606,66697.0,0,901,0
230,230,0.031912631000523106,66697.0,0,901,0
231,231,0.03199459800089244,66697.0,0,901,0
232,232,0.03207365600064804,66697.0,0,901,0
233,233,0.03215565500067896,66697.0,0,901,0
234,234,0.03223500900094223,66697.0,0,901,0
235,235,0.03231504500035953,66697.0,0,901,0
236,236,0.03239293500155327,66697.0,0,901,0
237,237,0.03247402700071689,66697.0,0,901,0
