,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,66664.0,9.250999937648885e-05,"[3, 1, 46, 11, 11, 3, 49, 49, 42, 33, 3, 41, 36, 19, 42, 10, 45, 1, 48, 37, 27, 31, 15, 13, 1, 30, 34, 30, 4, 27, 33, 12, 44, 43, 49, 0, 28, 25, 43, 33, 19, 29, 28, 6, 9, 49, 37, 2, 38, 28, 33, 0, 43, 48, 20, 29, 10, 37, 43, 37, 22, 33, 2, 19, 36, 36, 43, 38, 31, 41, 2, 6, 0, 43, 31, 49, 43, 4, 36, 36, 18, 41, 34, 45, 23, 31, 30, 49, 15, 48, 31, 49, 2, 29, 38, 21, 17, 41, 47, 14]",exponential,500,0.005,0.001,499.99976872505505,500,1901
1,1,66664.0,0.0005170619988348335,"[3, 1, 46, 11, 11, 3, 49, 49, 42, 33, 3, 41, 36, 19, 42, 10, 45, 1, 48, 37, 27, 31, 15, 13, 1, 30, 34, 30, 4, 27, 33, 12, 44, 43, 49, 0, 28, 25, 43, 33, 19, 29, 28, 6, 9, 49, 37, 2, 38, 28, 33, 0, 43, 48, 20, 29, 10, 37, 43, 37, 22, 33, 2, 19, 36, 36, 43, 38, 31, 41, 2, 6, 0, 43, 31, 49, 43, 4, 36, 36, 18, 41, 34, 45, 23, 31, 30, 49, 15, 48, 31, 49, 2, 29, 38, 21, 17, 41, 47, 14]",exponential,500,0.005,0.001,499.9987073466738,500,1901
2,101,68722.0,0.013659895999808214,"[3, 1, 46, 29, 23, 3, 49, 49, 46, 38, 2, 46, 30, 19, 42, 10, 34, 1, 48, 15, 27, 31, 38, 13, 1, 30, 34, 30, 4, 27, 33, 10, 39, 43, 49, 0, 28, 25, 43, 33, 19, 29, 3, 6, 9, 49, 37, 29, 6, 25, 36, 0, 44, 48, 9, 29, 10, 45, 43, 26, 22, 33, 19, 19, 36, 34, 46, 38, 31, 46, 2, 6, 13, 43, 31, 49, 43, 41, 48, 36, 18, 41, 34, 45, 38, 31, 30, 2, 34, 48, 37, 49, 2, 37, 38, 21, 17, 43, 47, 14]",exponential,500,0.005,0.001,499.9658514261787,500,1901
3,201,74080.0,0.02870615999927395,"[3, 43, 46, 31, 23, 15, 49, 48, 46, 38, 20, 46, 33, 19, 1, 10, 37, 0, 48, 49, 44, 41, 38, 13, 1, 32, 34, 30, 4, 27, 6, 18, 39, 36, 47, 0, 28, 38, 43, 33, 19, 29, 3, 6, 8, 49, 37, 32, 6, 23, 36, 0, 44, 30, 35, 29, 10, 48, 43, 21, 22, 33, 19, 35, 36, 34, 45, 38, 31, 42, 2, 6, 33, 43, 31, 49, 43, 41, 48, 36, 29, 41, 34, 45, 38, 31, 30, 41, 44, 43, 8, 49, 2, 37, 38, 21, 17, 43, 47, 48]",exponential,500,0.005,0.001,499.928239750028,500,1901
4,301,76172.0,0.044793314998969436,"[3, 35, 18, 31, 24, 15, 49, 48, 46, 38, 21, 34, 22, 19, 1, 10, 37, 0, 48, 49, 44, 41, 32, 6, 1, 43, 34, 30, 4, 44, 47, 18, 39, 36, 47, 0, 28, 38, 43, 33, 19, 29, 3, 42, 8, 49, 32, 32, 6, 23, 36, 0, 44, 9, 17, 35, 19, 48, 43, 21, 22, 33, 13, 35, 36, 44, 45, 49, 31, 31, 2, 14, 33, 43, 31, 49, 43, 41, 48, 36, 29, 41, 34, 45, 38, 31, 20, 41, 44, 43, 8, 49, 17, 37, 38, 21, 44, 43, 47, 48]",exponential,500,0.005,0.001,499.8880292518231,500,1901
5,401,77605.0,0.061847222999858786,"[3, 35, 18, 31, 24, 28, 49, 48, 46, 38, 21, 13, 22, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 34, 30, 4, 44, 47, 0, 39, 38, 46, 0, 28, 22, 43, 40, 21, 45, 3, 35, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 16, 35, 19, 47, 43, 21, 30, 33, 13, 35, 36, 44, 45, 49, 31, 31, 12, 14, 39, 43, 31, 47, 43, 41, 48, 35, 29, 41, 34, 46, 38, 31, 21, 41, 44, 43, 8, 49, 17, 37, 38, 21, 44, 43, 47, 48]",exponential,500,0.005,0.001,499.84540584678,500,1901
6,501,77760.0,0.0802864019988192,"[13, 35, 20, 31, 24, 38, 49, 48, 45, 32, 21, 13, 15, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 34, 30, 4, 44, 47, 0, 39, 38, 46, 0, 47, 28, 43, 40, 21, 45, 3, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 23, 33, 19, 47, 43, 21, 30, 33, 13, 35, 36, 44, 45, 49, 31, 31, 9, 14, 40, 43, 31, 47, 43, 41, 48, 35, 29, 42, 34, 45, 38, 36, 20, 41, 44, 43, 8, 48, 18, 37, 38, 21, 44, 43, 47, 48]",exponential,500,0.005,0.001,499.79932427652733,500,1901
7,601,78712.0,0.0998647099986556,"[8, 35, 20, 37, 22, 30, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 34, 30, 4, 44, 47, 0, 39, 38, 46, 0, 47, 28, 43, 40, 21, 45, 6, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 23, 33, 19, 47, 43, 21, 30, 33, 13, 35, 36, 44, 45, 49, 31, 33, 9, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 42, 36, 45, 34, 36, 20, 41, 44, 43, 8, 48, 28, 37, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.7504005456321,500,1901
8,701,79487.0,0.12059379600032116,"[8, 35, 20, 37, 22, 38, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 34, 30, 4, 44, 47, 0, 39, 38, 46, 0, 47, 23, 43, 40, 33, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 13, 35, 36, 44, 45, 49, 31, 33, 9, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.69860638463115,500,1901
9,801,79846.0,0.142557647999638,"[8, 35, 20, 38, 22, 21, 49, 48, 45, 32, 21, 13, 34, 19, 1, 10, 37, 0, 49, 49, 44, 41, 20, 6, 1, 43, 34, 30, 4, 44, 47, 8, 39, 38, 46, 0, 47, 23, 43, 40, 41, 45, 13, 12, 8, 49, 32, 48, 6, 43, 36, 0, 44, 9, 13, 33, 19, 47, 43, 21, 30, 33, 14, 35, 36, 44, 45, 49, 31, 33, 6, 14, 41, 43, 31, 47, 40, 40, 48, 35, 37, 41, 40, 45, 34, 36, 20, 41, 44, 43, 6, 48, 28, 42, 38, 21, 47, 43, 47, 48]",exponential,500,0.005,0.001,499.64373286659634,500,1901
