,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,60930.0,0.00010053299956780393,"[5, 22, 23, 40, 41, 29, 20, 14, 3, 12, 43, 4, 20, 22, 38, 32, 3, 38, 4, 25, 23, 30, 2, 28, 13, 23, 30, 35, 37, 28, 21, 17, 2, 20, 29, 41, 48, 32, 12, 14, 8, 20, 33, 24, 33, 44, 32, 41, 6, 47, 38, 38, 38, 14, 40, 49, 27, 38, 26, 13, 0, 13, 25, 44, 38, 44, 47, 12, 20, 20, 27, 0, 43, 8, 16, 34, 17, 22, 45, 24, 43, 10, 19, 29, 23, 35, 30, 6, 3, 1, 42, 21, 22, 24, 26, 19, 1, 36, 23, 18]",exponential,3500,0.005,0.001,3499.9982406729496,3500,1401
1,1,61532.0,0.0005648629994539078,"[5, 22, 23, 40, 41, 29, 20, 14, 3, 12, 43, 47, 20, 22, 38, 32, 3, 38, 4, 25, 23, 30, 2, 28, 13, 23, 30, 35, 37, 28, 21, 17, 2, 20, 29, 41, 48, 32, 12, 14, 8, 20, 33, 24, 33, 44, 32, 41, 6, 47, 38, 38, 38, 14, 40, 49, 27, 38, 26, 13, 0, 13, 25, 44, 38, 44, 47, 12, 20, 20, 27, 0, 43, 8, 16, 34, 17, 22, 45, 24, 43, 10, 19, 29, 23, 35, 30, 6, 3, 1, 42, 21, 22, 24, 26, 19, 1, 36, 23, 18]",exponential,3500,0.005,0.001,3499.990114911469,3500,1401
2,101,57945.0,0.014700711000841693,"[19, 13, 23, 33, 41, 39, 19, 14, 41, 27, 43, 47, 20, 19, 37, 39, 48, 0, 11, 25, 14, 25, 32, 7, 13, 23, 30, 36, 10, 28, 28, 11, 3, 20, 29, 25, 48, 32, 12, 14, 2, 9, 33, 45, 33, 21, 28, 42, 6, 47, 38, 1, 34, 5, 40, 25, 44, 21, 26, 39, 21, 13, 45, 48, 5, 14, 9, 12, 20, 22, 27, 38, 21, 7, 16, 34, 7, 22, 33, 0, 43, 38, 35, 20, 23, 22, 32, 6, 10, 1, 42, 21, 22, 24, 26, 4, 1, 36, 36, 24]",exponential,3500,0.005,0.001,3499.7427470121056,3500,1401
3,201,66478.0,0.030237147000661935,"[22, 17, 22, 34, 34, 41, 7, 25, 28, 13, 15, 18, 20, 47, 22, 39, 48, 13, 11, 33, 14, 37, 17, 7, 42, 28, 30, 24, 10, 28, 28, 15, 3, 20, 26, 25, 48, 0, 12, 14, 37, 42, 16, 45, 33, 21, 28, 1, 29, 47, 46, 25, 34, 37, 16, 6, 44, 21, 26, 39, 41, 34, 47, 48, 25, 44, 9, 40, 20, 38, 27, 38, 45, 29, 25, 34, 27, 22, 37, 26, 43, 27, 35, 12, 3, 22, 34, 6, 7, 2, 24, 21, 29, 39, 25, 4, 20, 21, 36, 28]",exponential,3500,0.005,0.001,3499.470889925444,3500,1401
4,301,68892.0,0.04702930700113939,"[22, 17, 41, 38, 34, 41, 22, 29, 35, 13, 40, 18, 4, 47, 22, 39, 48, 4, 39, 33, 14, 37, 17, 7, 42, 27, 30, 43, 43, 40, 48, 29, 3, 49, 30, 41, 49, 0, 12, 33, 40, 9, 18, 45, 35, 21, 41, 9, 29, 17, 46, 23, 34, 37, 16, 8, 44, 21, 2, 39, 20, 36, 47, 8, 25, 44, 9, 40, 1, 38, 36, 38, 45, 48, 8, 14, 27, 35, 41, 26, 14, 14, 35, 8, 5, 13, 34, 6, 7, 39, 31, 40, 46, 33, 45, 1, 35, 7, 36, 26]",exponential,3500,0.005,0.001,3499.1770838842085,3500,1401
5,401,72007.0,0.06516438600010588,"[17, 3, 47, 38, 26, 41, 22, 24, 35, 39, 34, 37, 7, 42, 22, 39, 48, 4, 39, 35, 14, 27, 17, 27, 42, 27, 7, 43, 24, 43, 48, 29, 12, 41, 44, 41, 20, 0, 37, 33, 43, 9, 27, 21, 35, 28, 41, 9, 0, 12, 46, 47, 49, 37, 49, 28, 18, 44, 2, 46, 20, 36, 47, 23, 12, 44, 9, 40, 1, 13, 36, 45, 46, 48, 8, 33, 27, 35, 41, 15, 14, 14, 35, 18, 5, 13, 19, 6, 7, 26, 25, 26, 46, 33, 45, 7, 37, 7, 49, 44]",exponential,3500,0.005,0.001,3498.8598090047003,3500,1401
6,501,75110.0,0.08432345500114025,"[17, 3, 47, 23, 26, 41, 22, 24, 39, 39, 34, 40, 44, 42, 5, 45, 48, 4, 39, 7, 14, 31, 33, 27, 43, 38, 30, 36, 24, 43, 45, 29, 12, 41, 44, 41, 46, 0, 47, 3, 43, 42, 23, 21, 35, 38, 41, 33, 0, 12, 46, 47, 33, 6, 23, 28, 10, 44, 22, 46, 29, 36, 47, 23, 32, 44, 9, 40, 1, 13, 16, 45, 46, 48, 16, 41, 25, 41, 31, 44, 14, 14, 35, 13, 32, 9, 37, 22, 20, 25, 21, 49, 46, 33, 45, 7, 37, 8, 49, 44]",exponential,3500,0.005,0.001,3498.524650575737,3500,1401
7,601,77525.0,0.10457682900050713,"[17, 3, 38, 23, 15, 24, 22, 47, 39, 39, 34, 37, 44, 42, 5, 45, 48, 0, 39, 7, 14, 35, 33, 27, 15, 38, 25, 36, 24, 43, 9, 29, 14, 41, 44, 41, 46, 0, 47, 11, 43, 42, 33, 21, 34, 38, 41, 33, 11, 12, 46, 48, 33, 6, 41, 28, 25, 44, 22, 33, 34, 37, 47, 23, 32, 44, 9, 38, 5, 46, 20, 45, 46, 48, 16, 41, 32, 25, 31, 44, 0, 9, 49, 8, 32, 38, 32, 22, 10, 25, 6, 49, 46, 33, 45, 31, 37, 8, 49, 44]",exponential,3500,0.005,0.001,3498.170383872809,3500,1401
8,701,80356.0,0.12600269699942146,"[9, 3, 38, 35, 45, 36, 22, 46, 34, 39, 34, 37, 44, 42, 5, 45, 48, 0, 39, 24, 14, 35, 40, 27, 15, 41, 17, 36, 24, 45, 44, 29, 14, 41, 41, 41, 46, 0, 47, 11, 43, 42, 33, 21, 34, 38, 41, 33, 11, 10, 46, 48, 43, 6, 41, 28, 22, 44, 22, 33, 34, 37, 47, 23, 32, 49, 8, 38, 31, 46, 43, 45, 46, 48, 21, 41, 32, 25, 31, 38, 0, 9, 49, 8, 32, 38, 32, 22, 13, 16, 6, 49, 46, 38, 45, 13, 37, 13, 49, 44]",exponential,3500,0.005,0.001,3497.795647261398,3500,1401
9,801,82020.0,0.14854062800077372,"[9, 2, 38, 48, 45, 36, 23, 46, 34, 39, 34, 37, 44, 36, 5, 45, 48, 0, 45, 24, 3, 35, 42, 27, 15, 41, 17, 36, 24, 45, 32, 29, 14, 41, 41, 41, 46, 41, 47, 11, 43, 35, 33, 21, 34, 38, 41, 33, 11, 46, 46, 48, 43, 6, 17, 7, 22, 44, 25, 33, 34, 37, 47, 23, 32, 49, 8, 38, 31, 46, 43, 45, 46, 48, 21, 45, 29, 25, 31, 38, 0, 9, 49, 34, 32, 38, 32, 22, 13, 4, 6, 49, 46, 38, 45, 13, 37, 19, 49, 44]",exponential,3500,0.005,0.001,3497.40150408497,3500,1401
