,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,class
967,967,31,4,4,3,1,0,1,4,0,1
175,175,32,2,4,0,1,0,3,4,0,0
540,540,27,3,3,1,1,0,3,4,0,1
49,49,26,4,4,0,1,0,1,4,0,0
1408,1408,36,4,4,3,1,1,2,4,0,1
89,89,24,2,2,3,1,0,2,1,0,0
412,412,47,1,1,1,1,1,3,4,0,0
611,611,35,4,4,3,0,0,3,4,0,1
286,286,22,4,4,0,1,0,1,4,0,0
136,136,24,4,4,2,1,1,3,3,0,0
598,598,33,4,4,5,1,1,2,4,0,1
106,106,22,4,4,0,1,1,1,1,0,0
1244,1244,34,3,4,3,0,1,1,4,0,1
1045,1045,44,1,4,9,1,1,1,2,0,0
860,860,29,3,4,3,1,1,3,2,0,1
201,201,22,2,4,0,1,1,3,3,0,0
859,859,24,3,4,2,1,1,3,3,0,1
1085,1085,30,4,2,0,1,0,3,3,0,0
155,155,47,1,1,7,1,1,2,3,1,0
1313,1313,41,4,4,6,1,1,1,4,0,1
686,686,33,3,3,3,1,1,3,3,0,1
279,279,48,4,4,3,1,1,2,4,0,0
577,577,43,4,4,3,0,1,1,4,0,1
1320,1320,32,3,2,5,1,1,3,3,0,1
272,272,25,3,4,1,1,1,2,1,0,0
1309,1309,37,4,4,4,0,1,2,4,0,1
376,376,40,3,3,3,1,1,2,2,1,0
331,331,35,1,2,0,1,0,4,4,0,0
1136,1136,26,3,4,1,0,1,2,2,0,0
1123,1123,47,2,4,2,1,1,3,2,1,0
81,81,49,4,4,6,0,0,1,4,0,0
966,966,30,3,3,4,1,0,2,2,0,1
1058,1058,30,1,1,7,1,1,2,3,0,0
54,54,36,2,4,5,1,1,2,3,0,0
625,625,41,4,4,7,1,1,2,4,0,1
449,449,20,3,4,1,1,1,2,4,0,1
726,726,24,4,4,1,1,1,1,3,0,1
458,458,46,4,4,4,1,1,1,4,0,1
1030,1030,35,3,4,6,1,0,2,2,0,0
748,748,35,3,4,4,1,1,1,4,0,1
1131,1131,45,1,3,7,1,0,1,3,0,0
35,35,42,1,3,9,1,1,3,2,1,0
1372,1372,25,4,4,2,1,1,3,3,0,1
1411,1411,25,4,4,2,1,1,2,3,0,1
1019,1019,38,2,4,3,1,1,1,3,0,0
1211,1211,49,1,2,5,1,0,2,2,1,0
991,991,28,3,4,3,1,1,1,4,0,1
812,812,25,3,3,3,1,1,3,2,0,1
1202,1202,47,1,1,4,1,1,2,2,0,0
169,169,20,3,4,0,1,0,2,4,0,0
1328,1328,17,3,4,1,1,1,3,3,0,1
740,740,29,1,3,5,1,1,3,3,0,1
1338,1338,31,4,4,5,1,0,1,4,0,1
70,70,47,2,3,4,1,1,2,3,0,0
1119,1119,38,1,3,4,1,0,2,2,0,0
1305,1305,36,3,3,4,1,1,1,3,0,1
430,430,23,4,4,1,1,1,1,2,0,1
1094,1094,38,1,2,6,1,1,2,1,1,0
1087,1087,45,2,4,8,1,1,2,3,0,0
565,565,22,4,4,1,1,1,1,3,0,1
34,34,24,2,3,1,1,1,3,3,0,0
86,86,25,4,4,1,1,1,1,3,0,0
642,642,29,3,3,4,1,1,3,4,0,1
648,648,17,2,2,1,1,1,3,2,0,1
293,293,40,4,4,3,1,1,3,4,0,0
259,259,39,3,3,1,0,1,3,4,0,0
500,500,36,2,1,6,1,1,2,1,0,1
699,699,39,4,3,1,1,0,2,2,0,1
1348,1348,21,4,4,2,1,1,2,3,0,1
1139,1139,47,2,3,12,1,1,3,1,0,0
744,744,37,4,4,4,1,1,3,2,0,1
760,760,26,4,4,1,1,1,3,3,0,1
889,889,33,4,4,4,1,1,2,3,0,1
671,671,26,2,4,3,1,1,3,4,0,1
46,46,32,4,4,2,1,1,2,3,0,0
583,583,24,4,4,1,1,1,1,4,0,1
805,805,33,2,4,3,1,1,3,4,0,1
1102,1102,20,3,4,2,1,1,3,2,0,0
24,24,48,4,4,5,1,1,1,4,0,0
570,570,36,4,4,3,0,1,2,4,0,1
144,144,30,2,4,2,1,1,3,4,0,0
392,392,47,1,4,6,1,1,1,4,0,0
1222,1222,36,4,4,3,1,0,1,4,0,1
811,811,35,1,2,6,1,1,2,2,1,1
1304,1304,34,4,4,4,1,0,3,3,0,1
182,182,42,1,3,12,1,1,3,3,0,0
870,870,22,4,4,3,1,1,3,2,0,1
828,828,35,4,4,3,1,1,1,4,0,1
990,990,23,2,3,3,1,1,2,3,0,1
466,466,27,3,3,1,0,0,2,4,0,1
65,65,24,2,4,1,1,1,3,1,0,0
