, Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,class
1460,114.703125,51.5197716,0.447554738,-0.20111297,2.172240803,15.39965139,11.03654038,145.2176233,0
755,97.6171875,39.85738661,0.846051574,2.037360472,2.378762542,16.85987451,8.999388864,94.48380572,0
10666,106.1015625,53.39824433,0.553144536,-0.065203151,4.780100334,27.1136461,6.494441532,43.62119547,0
8964,110.8515625,54.9458668,0.404994394,-0.302522337,49.840301,71.10285367,1.111246494,-0.120284803,0
1032,117.3359375,53.79232016,0.053138123,-0.544381902,4.212374582,24.60830367,6.658335798,46.98928456,0
9414,120.8125,51.42861406,0.199248871,-0.119346507,1.678093645,14.54266776,11.48477647,151.5010853,0
10355,108.671875,43.66064256,0.16097522,0.139801756,3.598662207,24.62218454,7.491204404,57.98247071,0
11091,125.8046875,58.94781307,0.095915902,-0.670209223,2.221571906,16.39403706,10.5398678,128.2152985,0
10799,126.40625,49.26355104,-0.053176949,-0.07184699,3.906354515,23.60884407,6.973065175,52.1720817,0
11474,100.578125,44.40766568,0.335259852,0.27627462,0.894648829,9.137866645,19.93203382,509.0165547,0
5549,105.8046875,40.73601343,0.740653518,1.363533389,2.884615385,15.58685013,7.722404051,80.90782638,0
964,115.3046875,45.06151327,0.255639707,0.170875733,13.23494983,43.50595795,3.235106239,9.234942226,0
4533,106.5078125,37.86860426,0.58972302,1.665234172,5.755852843,31.12396603,5.954662829,36.16065596,0
9061,113.2578125,54.60572402,0.238349614,-0.311258869,2.330267559,15.86008389,10.04540645,126.6041526,0
8058,125.9296875,56.89109437,-0.046708838,-0.659005773,9.753344482,38.38641583,4.589798929,21.03976659,0
2997,95.4921875,72.21344189,0.914116651,-0.488471048,1.329431438,9.808202663,16.6909318,385.0042553,0
7909,108.9765625,52.21806214,0.208775555,-0.253509097,2.535953177,13.82624661,9.10668729,119.1817846,0
4111,103.078125,34.44257208,0.536350183,2.388923941,2.657190635,17.04610726,9.220838089,105.2937165,0
5520,107.984375,44.79501653,0.121374492,0.313013823,0.867892977,11.79454579,15.74871118,272.9672968,0
9970,130.484375,45.63321576,0.141510594,0.231174139,2.972408027,18.30926464,7.532465375,66.00795795,0
8769,110.09375,45.88495081,0.298735277,0.542145113,2.705685619,16.08330117,8.778400977,98.02389011,0
10917,114.109375,45.93732727,0.398405454,0.342588907,2.79264214,20.2944169,8.19382344,71.46106935,0
5930,112.3046875,53.16403839,0.101907705,-0.559555157,3.731605351,22.61479163,7.537782178,62.99213413,0
846,86.3515625,53.94565985,1.632285056,2.139865268,30.78511706,65.28170096,2.014456209,2.61615696,0
12183,98.015625,44.84661086,0.649316918,0.965570714,3.432274247,19.89910828,7.078860305,58.06248628,0
3780,119.296875,58.68511835,0.060716049,-0.668449972,37.01588629,65.15636388,1.517861659,0.94881451,0
5397,127.90625,67.27676483,-0.018153299,-1.073750811,57.93645485,64.20824171,0.84149273,-0.125147914,0
7974,132.34375,49.95051262,-0.050393751,-0.309031538,7.877926421,32.9002264,4.448062103,19.81511679,0
6648,135.171875,50.20693263,-0.09513252,-0.332389963,57.92976589,81.65758766,0.871114825,-0.984605537,0
11159,102.0,38.92661365,0.637123439,1.88777873,1.639632107,15.50907819,11.10702592,135.6577175,0
5134,123.3984375,48.86162538,0.15539356,-0.203031848,7.848662207,36.21008479,5.11458716,26.60934028,0
9938,120.515625,45.90189681,0.479570299,0.180521411,2.849498328,15.82172075,8.22630334,88.44532718,0
7698,129.234375,53.82342142,0.136312604,-0.361925451,4.0409699,20.27542362,6.275422209,45.85562744,0
11902,132.5078125,56.41295786,-0.087278151,-0.478336499,2.531772575,17.76984483,8.66528654,84.84574422,0
8714,97.078125,49.27658061,0.592437886,0.297320411,1.79264214,16.08278581,10.10243677,112.0144556,0
8721,130.828125,45.27349345,0.027897723,0.028332998,2.072742475,15.58289602,9.951047663,117.537957,0
9246,101.5078125,44.14818727,0.386178912,0.425280309,5.118729097,26.47200106,5.856931742,36.92804448,0
8788,115.484375,53.63388393,0.325621887,-0.447587468,1.464046823,17.01213058,12.97023796,172.5295044,0
10915,91.078125,43.3639412,0.298862275,0.380182552,99.0083612,88.10357008,-0.095266259,-1.773263335,0
9331,103.4140625,52.15130142,0.838419995,0.51168986,2.044314381,12.99004801,11.2381718,166.7350406,0
8933,103.3984375,44.42749357,0.390188897,0.264724106,17.21989967,52.53959461,2.878585257,6.753066195,0
3899,97.3125,41.30843399,0.484945971,1.121387711,2.154682274,17.79562495,10.72121156,126.396478,0
11316,96.0,46.34095786,0.557254734,0.44604695,5.227424749,27.69648778,6.028400478,38.33132343,0
2305,92.8828125,38.09581282,0.345262605,1.866932787,2.43812709,19.10620776,8.740337381,81.6615926,0
1153,109.5625,36.62622652,0.278254042,1.814581705,5.351170569,25.6453251,5.864311475,38.50241331,0
12330,113.59375,37.10404238,0.358735721,1.308870578,1.498327759,12.47415377,12.21911321,187.6662067,0
12221,128.0234375,44.11445781,0.17049644,-0.067414113,2.33277592,13.69860584,9.603359131,126.4645464,0
6829,115.1796875,36.6491886,0.411479182,1.300174366,0.806856187,11.8311131,15.87928995,271.087355,0
12031,133.5078125,47.99674405,-0.082239059,-0.278631612,2.477424749,18.60616268,9.657630694,105.7774958,0
7722,109.0234375,49.13493297,0.322659154,0.131936945,5.670568562,31.28112101,5.677978088,31.66436291,0
7337,109.2890625,48.76284324,0.302684121,-0.403202139,128.6571906,77.77351911,-0.787979675,-0.921648767,0
1779,106.0625,49.28960178,0.81778482,0.767114363,2.905518395,16.76819941,8.235736585,83.85294087,0
3419,130.96875,53.45850282,0.239648198,-0.349037688,5.790133779,26.10636085,6.129278382,42.98462647,0
6486,110.4765625,41.28577328,0.228707836,0.408540245,5.377090301,29.8211353,5.810858036,33.75831415,0
2832,119.6171875,55.25864201,0.103762869,-0.268105481,2.069397993,13.38156397,10.26214108,139.8282692,0
10399,120.171875,52.99972131,0.375089317,-0.095460353,3.091137124,19.94576815,8.940039121,88.27002753,0
3130,112.1953125,48.43617879,0.129346297,0.328220666,1.059364548,11.6820613,14.19043506,240.5357011,0
1584,74.4921875,36.70830885,1.115460054,3.40705721,0.45819398,9.046189062,23.07772417,581.6187764,0
2061,135.4765625,54.57104957,-0.78854709,0.077817506,3.060200669,25.11591298,8.363555112,69.39189395,0
11389,100.75,49.82955323,0.440333023,0.061638408,3.025919732,19.99486131,7.806439193,67.00138248,0
4081,102.0234375,51.34236568,0.371094507,-0.005771135,1.772575251,16.07736679,10.25897623,113.9524153,0
8856,120.6953125,41.3290074,0.078342734,0.459082291,1.254180602,13.59066942,13.15117243,195.0285708,0
2905,106.125,42.466163,0.149348062,0.487159507,1.323578595,11.33754584,14.10440119,256.2448412,0
12165,122.5625,54.07427617,0.008688182,-0.583308201,2.648829431,18.37282302,9.260363282,100.2009668,0
3915,132.03125,48.31244947,0.085750979,-0.066407834,1.884615385,17.79402019,10.800786,124.4549874,0
11064,129.5703125,51.78994286,-0.084586046,-0.514806073,28.41471572,66.72077981,1.949257853,1.882905681,0
6119,128.125,48.35755499,-0.005863009,-0.100868687,2.019230769,15.44080718,10.65247758,137.9184905,0
2912,129.703125,43.53184168,0.08252364,0.50610269,1.105351171,11.69750873,15.30157529,277.1084331,0
5171,100.109375,44.53934959,0.441860662,0.350467097,8.473244147,32.34350208,4.532549312,22.33279469,0
11115,81.6640625,39.63294032,0.532178576,1.740904249,5.191471572,29.50215616,6.447181986,42.92168272,0
8584,113.8359375,46.90845096,0.357534727,0.512981196,2.309364548,14.07123347,9.731678452,124.6366044,0
3765,129.25,48.07204879,0.150241717,-0.039414743,18.74498328,53.93577579,2.763543964,6.250814822,0
9916,148.34375,51.68813293,-0.355294877,0.064232539,2.919732441,18.38573804,7.988190951,75.54049237,0
8606,120.890625,55.89250766,0.044962983,-0.585060968,0.840301003,9.14361893,20.14903327,511.8745185,0
11797,81.2265625,39.60512412,1.02771568,3.256927056,9.872909699,36.37709736,4.164901185,18.02332517,0
10513,114.8046875,46.86134111,0.171423052,0.789467023,1.433946488,12.30288672,13.08859354,208.2135748,0
2516,109.765625,46.21932841,-0.036676476,-0.368529553,4.096153846,22.22347621,7.608344924,65.16584961,0
11121,150.9765625,52.9626143,-0.252461202,-0.314003113,3.313545151,22.09933905,7.551715818,60.31034868,0
8249,121.9921875,40.79091046,-0.023464609,0.395516983,3.681438127,25.22440469,7.366897087,55.6216986,0
