Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,class
8535,150.5973916,72.6444991,0.8759645153,8690,104.2453813,0.7793097151,362.035,0.8182994756,2.073073577,1
9259,163.6247752,72.66826475,0.8959696467,9448,108.5768159,0.7567015364,392.51,0.7552182854,2.251667572,1
5531,158.8746067,44.65387919,0.9596891248,5622,83.9183408,0.4182546884,341.234,0.5969101013,3.557912762,0
10146,170.6655848,76.3810803,0.8942597958,10408,113.6586487,0.6013513514,412,0.7511216671,2.234396059,1
6039,150.9849246,52.24941351,0.9382134327,6228,87.68747693,0.4915750916,340.345,0.6551430588,2.889696065,0
6732,158.6723886,54.77502086,0.9385261051,6882,92.58211823,0.7361399672,355.625,0.6689126419,2.896801974,0
7136,141.9788393,64.84315229,0.889615646,7346,95.319659,0.6167141993,341.559,0.7686581541,2.189573366,1
9829,167.328101,75.85808719,0.8913329116,10056,111.8689925,0.5775988717,402.811,0.7612311569,2.20580438,1
6632,159.4729652,53.81675773,0.9413375962,6799,91.89191836,0.7283110037,355.418,0.6597441442,2.963258507,0
9387,160.9585373,75.14609685,0.8843279784,9663,109.3247438,0.7112980223,389.401,0.7779336489,2.141941418,1
5871,155.6531604,49.39868148,0.9483038575,6069,86.45917746,0.8046875,343.956,0.623614443,3.150957793,0
8700,156.6599435,71.62929858,0.8893495591,8998,105.2482021,0.5661482397,384.467,0.7396239723,2.187093084,1
9552,163.0641215,75.39072961,0.8867038014,9813,110.2813862,0.5741419727,390.853,0.7857371338,2.162920061,1
8649,154.2425269,72.03985163,0.8842278958,8823,104.9392625,0.7639109698,370.586,0.7914030945,2.141072246,1
8494,156.9425723,69.78678409,0.8956972247,8736,103.9946955,0.6362546816,373.473,0.7652506378,2.248886724,1
8358,152.6159477,70.40198353,0.8872433813,8523,103.1587908,0.596659052,363.09,0.7966795233,2.167779088,1
7541,157.4599069,62.04408303,0.9190971542,7814,97.98724104,0.7005759941,367.129,0.7030746221,2.53787145,1
7670,125.5803983,80.21152004,0.7694339099,8041,98.82179571,0.7082833133,349.367,0.7896624132,1.56561549,1
6494,135.9388554,61.27198544,0.8926593465,6584,90.93083967,0.6240630406,318.884,0.8025215258,2.218613522,1
9170,156.1771715,75.55218394,0.8752009976,9530,108.053721,0.5874815811,389.207,0.7607078791,2.067143044,1
7358,142.7322394,67.06098555,0.8827528226,7601,96.79099426,0.6173336689,348.275,0.7622984658,2.128394599,1
5548,136.2384902,52.69408825,0.9221727419,5691,84.04720694,0.5223121823,314.311,0.7057114368,2.585460623,0
5548,149.3220062,48.46986819,0.9458515101,5751,84.04720694,0.6171301446,335.347,0.6199511435,3.080718222,0
6725,150.3744182,57.98270437,0.9226706949,6913,92.53397181,0.5578135368,361.351,0.6472076334,2.593435747,0
9602,163.5572187,75.70010084,0.8864441449,9880,110.5696437,0.8009676343,393.842,0.7779066951,2.160594462,1
7187,165.6152756,56.18451422,0.9406972706,7410,95.65967075,0.6580899185,374.82,0.6428534755,2.947703257,0
8452,150.7118606,71.8000085,0.8792255049,8600,103.7372673,0.5956307259,361.237,0.8139259566,2.099050735,1
6291,163.7666922,49.98662256,0.9522784352,6468,89.49832387,0.6189492326,355.452,0.6257021177,3.276210391,0
6007,156.4083828,49.6199018,0.9483433478,6167,87.45484518,0.4513148009,345.236,0.6333377046,3.152130035,0
6261,150.5165717,53.98491056,0.9334666405,6406,89.28467276,0.5030531898,339.975,0.680706038,2.788123018,0
6941,168.5326809,53.35366844,0.9485666214,7111,94.00827453,0.450421804,374.887,0.6206276886,3.158783375,0
8471,149.8691855,73.01785657,0.8732845048,8656,103.853802,0.6564122433,362.83,0.8086082503,2.052500478,1
5925,156.410374,48.8787532,0.9499166841,6086,86.85588237,0.4805352798,345.439,0.6239581808,3.199966524,0
5417,151.4431969,46.27601687,0.9521706335,5619,83.04901332,0.4451840894,332.392,0.6161232169,3.272606571,0
6054,156.0819637,50.05989638,0.9471712539,6174,87.79631088,0.4646557679,343.921,0.6431834944,3.117904249,0
9397,166.750576,72.0567482,0.9018147092,9561,109.3829603,0.7686707566,389.367,0.7788983949,2.314156276,1
8744,165.3419605,67.7330632,0.9122407932,8878,105.5140113,0.8228872577,381.692,0.7542127986,2.441081988,1
6229,156.4213022,51.99976193,0.9431265153,6334,89.05621328,0.8372311828,349.273,0.6416499517,3.008115737,0
7113,143.6541867,63.67324122,0.8964031192,7229,95.1659229,0.5993427705,337.806,0.7832996897,2.256115503,1
8520,157.4643579,69.95105372,0.8959106942,8737,104.153737,0.5649867374,375.405,0.7597126422,2.251064846,1
6922,151.2943962,59.41313539,0.9196671209,7128,93.87951922,0.5926369863,354.006,0.6940970733,2.546480593,0
5796,155.1634256,48.26873669,0.9503826785,5931,85.90515934,0.5185185185,339.615,0.6314871437,3.214573991,0
4473,129.0740878,45.00768774,0.9372356819,4572,75.46655209,0.5004475274,288.153,0.6769591635,2.867823128,0
7720,152.1600059,65.45883968,0.9027348407,8034,99.14337742,0.6483581087,363.747,0.7332099063,2.324514254,1
9272,156.6486057,75.82022443,0.8750598788,9402,108.6530122,0.6033708596,377.605,0.8171613446,2.066053046,1
7051,144.069656,63.20945338,0.898612924,7204,94.75026137,0.7772266314,340.954,0.7622000957,2.279242238,1
6965,150.8176601,60.00703819,0.9174383077,7242,94.17066119,0.5207476636,357.466,0.6849541534,2.513332847,0
4548,129.9619225,45.46784686,0.9368038107,4684,76.09660603,0.5138983051,293.221,0.6647221933,2.858325862,0
5655,144.5105781,51.34704644,0.9347459126,5847,84.85381326,0.5471168731,326.821,0.6653077221,2.8143893,0
5513,147.0576078,48.7435126,0.9434697554,5666,83.78167825,0.6364580928,326.117,0.6514048375,3.016967797,0
7839,141.7511761,70.98913885,0.8655624189,7997,99.90457843,0.6379394531,350.227,0.8031030595,1.996800896,1
7811,142.9190121,70.54252202,0.8696981909,7984,99.72599503,0.7587178242,349.11,0.8053634643,2.025998051,1
4726,120.0437924,50.74565115,0.9062574664,4809,77.5714515,0.7610305958,277.216,0.7727997909,2.365597637,0
9637,167.1825501,74.22905811,0.8960267679,9871,110.7709777,0.5672827879,399.157,0.7600886076,2.252252074,1
6443,163.5891142,51.2016997,0.9497565365,6689,90.5730776,0.6619067187,361.637,0.6190878484,3.194993822,0
8424,155.7425076,69.37383323,0.8953121422,8558,103.5652931,0.6758664955,367.974,0.7817969193,2.244974803,1
6016,148.8150295,52.56221604,0.9355459428,6197,87.52033536,0.661971831,335.702,0.6708259191,2.831216807,0
9028,156.3298325,74.47518325,0.8792298714,9217,107.2138359,0.6233084783,378.569,0.7916100855,2.099086241,1
6778,161.7868341,54.27638128,0.9420470334,6917,92.89788821,0.5024462565,360.078,0.6569287262,2.980796257,0
6971,145.5203814,61.7648068,0.9054556269,7082,94.21121412,0.5585737179,337.535,0.7688955036,2.356040421,1
8384,157.9692365,67.95933176,0.9027306892,8596,103.319119,0.7890080934,367.286,0.7810024293,2.324467183,1
5356,150.8655669,46.46513773,0.9513894831,5484,82.58008841,0.4291666667,332.328,0.6094198059,3.246855046,0
7081,154.5809512,59.34318431,0.9233758659,7233,94.95161513,0.6381578947,356.85,0.6987680771,2.604864451,0
9701,163.4329315,76.16016033,0.8847833847,9925,111.138188,0.6898734177,392.371,0.7918311197,2.145911075,1
8379,157.4828928,68.49791753,0.9004523568,8536,103.2883059,0.760620915,376.532,0.7426740891,2.299090227,1
8619,156.7055897,71.37416832,0.8902528519,8938,104.7571078,0.5741406875,377.422,0.7603478485,2.195550482,1
4794,153.4607127,41.19530664,0.9632958381,4964,78.12752637,0.3944380451,327.29,0.5623962569,3.725198943,0
5678,139.2399546,53.09842985,0.9244328849,5869,85.02619676,0.5746963563,321.859,0.6887695467,2.622298907,0
9255,161.3339964,73.60915697,0.8898499819,9532,108.5533601,0.6494736842,416.769,0.669569205,2.191765306,1
6565,160.0911437,53.13490405,0.9433131402,6748,91.4265695,0.4736652237,355.648,0.6522346288,3.012918656,0
7740,153.744738,65.11338555,0.9058885347,7976,99.27171841,0.7753180407,358.395,0.7572284811,2.361184826,1
8901,155.2695966,73.86211089,0.8796063215,9106,106.457058,0.6055102041,374.252,0.7985836334,2.102154876,1
8531,158.9283363,69.02761972,0.9007529881,8687,104.2209507,0.6637877373,374.433,0.7646480246,2.302387608,1
6230,146.1681384,55.27209829,0.9257482026,6396,89.06336151,0.6267605634,336.969,0.6894741887,2.64451944,0
6202,154.1125088,52.77999717,0.939526195,6396,88.86299374,0.7708177977,344.947,0.654993336,2.919903696,0
7058,158.1139357,57.79711182,0.9307952748,7243,94.79728217,0.7069310897,366.335,0.6608983855,2.735671917,0
6910,172.6573073,51.73077875,0.9540600845,7044,93.79810901,0.4329573935,375.904,0.6145171635,3.337612761,0
8062,152.9825117,67.75672176,0.89656854,8280,101.3156316,0.7577067669,365.054,0.7602185015,2.257820445,1
8249,156.481156,68.06971946,0.9004291664,8503,102.4839158,0.5458214782,372.114,0.7486160745,2.298836505,1
6282,154.2146326,53.04441175,0.9389825278,6497,89.43428213,0.7564118001,351.109,0.6403595227,2.907273878,0
7866,149.5480111,68.6255854,0.8884948199,8137,100.076482,0.5783823529,361.748,0.7553557311,2.179187401,1
6381,158.5610562,52.25834508,0.9441281097,6541,90.13623874,0.4938854489,353.105,0.6431183096,3.034176761,0
6765,134.5392838,64.25713126,0.8785726709,6908,92.80875778,0.6601288056,325.672,0.8015245381,2.093764243,1
5439,147.5127356,47.83997326,0.9459505828,5636,83.21748545,0.5025408852,332.497,0.6182348184,3.083461916,0
6149,169.195934,47.08478725,0.9604983813,6283,88.48248392,0.4418654786,362.676,0.5874578651,3.593430998,0
9076,161.5894036,72.4765026,0.8937714807,9372,107.4984749,0.5621206491,387.172,0.7608454844,2.229541959,1
6348,144.9343665,56.39471482,0.9211933281,6487,89.90286219,0.6386317907,333.412,0.7176031373,2.569999103,0
6217,157.6599374,51.03590825,0.9461567611,6408,88.97038974,0.5139715608,350.293,0.6366896849,3.089196271,0
6445,166.5212787,50.50747808,0.952892111,6598,90.58713411,0.4353847193,361.472,0.6198455129,3.296962846,0
6895,154.2701386,57.96407063,0.9267287787,7061,93.69624678,0.787280201,351.713,0.7004341184,2.661478687,0
8215,149.4952826,71.04067298,0.8798759503,8399,102.2724932,0.8044457501,360.497,0.7943540642,2.104361858,1
8360,160.7093348,67.4798766,0.9075760576,8565,103.1711326,0.7847554679,376.705,0.7403095848,2.381589043,1
4974,144.6726593,45.04623851,0.9502898617,5120,79.58073571,0.4346002621,322.65,0.600416068,3.211647945,0
9306,157.6059849,75.99865072,0.8760575133,9589,108.8520427,0.5862047244,387.141,0.780251437,2.073799776,1
6349,140.8173736,58.27885825,0.9103399598,6466,89.90994311,0.5865668884,326.036,0.7505576891,2.416268572,1
6221,137.8447639,58.50969295,0.9054463348,6344,88.99900678,0.5607535605,323.077,0.7489588939,2.355930393,1
6838,161.8621274,54.29527141,0.9420610459,7005,93.30815616,0.4812781532,359.585,0.6645624929,2.98114593,0
7375,149.211948,63.42286943,0.9051688306,7583,96.90274321,0.6007657217,349.682,0.7579234318,2.352652116,1
6329,157.6971862,51.83535183,0.9444337535,6481,89.76821864,0.785235732,349.43,0.6513652467,3.042270972,0
8409,152.2174582,71.11505616,0.8841549254,8643,103.4730464,0.7184723172,368.734,0.7771911513,2.14043926,1
5697,142.7061495,51.54611855,0.9324865857,5911,85.16833735,0.5097530422,333.497,0.6436832684,2.768513974,0
4705,120.9747517,50.21689738,0.9097747427,4794,77.3989151,0.5726630964,278.623,0.7616151311,2.409044724,0
5746,150.6844917,50.17110028,0.9429428453,5969,85.53382035,0.5152439024,333.793,0.6480686841,3.003412142,0
6289,159.750557,50.79263088,0.9481076053,6477,89.48409633,0.5289318755,351.417,0.6399498254,3.145152245,0
